METHOD,CHANNEL_N,SELECT_STRATEGY,RUNTIME_original (s),RUNTIME_optimized (s),runtime visualized,AUPRC_all,AUPRC_strong,Recall_all_seg,Precision_all_seg,F1-score_all_seg,Recall_strong_seg,Precision_strong_seg,F1-score_strong_seg
ACE,10.000,SELECT-EVENLY-SPACED,6.728,0.450,0.450,0.004,0.040,0.578,0.004,0.007,0.566,0.036,0.068
CEM,10.000,SELECT-EVENLY-SPACED,0.053,0.052,0.052,0.031,0.138,0.503,0.017,0.033,0.494,0.136,0.213
Mag1c (tile-wise),10.000,SELECT-EVENLY-SPACED,10.086,-,10.086,0.030,0.165,0.277,0.067,0.107,0.254,0.350,0.295
Mag1c-SAS (tile-wise),10.000,SELECT-EVENLY-SPACED,0.535,-,0.535,0.032,0.168,0.373,0.058,0.100,0.351,0.332,0.341
MF,10.000,SELECT-EVENLY-SPACED,0.278,0.113,0.113,0.031,0.139,0.494,0.019,0.037,0.481,0.144,0.221
ACE,25.000,SELECT-HIGHEST-VARIANCE,8.283,1.103,1.103,0.040,0.125,0.427,0.012,0.023,0.391,0.110,0.172
CEM,25.000,SELECT-HIGHEST-VARIANCE,0.112,0.110,0.110,0.056,0.180,0.436,0.064,0.112,0.409,0.311,0.353
Mag1c (tile-wise),25.000,SELECT-HIGHEST-VARIANCE,11.044,-,11.044,0.094,0.288,0.319,0.166,0.218,0.299,0.627,0.405
Mag1c-SAS (tile-wise),25.000,SELECT-HIGHEST-VARIANCE,0.560,-,0.560,0.087,0.276,0.370,0.151,0.214,0.347,0.610,0.442
MF,25.000,SELECT-HIGHEST-VARIANCE,0.878,0.366,0.366,0.056,0.178,0.434,0.064,0.112,0.408,0.316,0.356
ACE,35.000,SELECT-HIGHEST-VARIANCE,9.215,1.564,1.564,0.047,0.124,0.368,0.021,0.041,0.323,0.177,0.229
CEM,35.000,SELECT-HIGHEST-VARIANCE,0.195,0.197,0.197,0.066,0.201,0.425,0.079,0.134,0.387,0.371,0.379
Mag1c (tile-wise),35.000,SELECT-HIGHEST-VARIANCE,11.086,-,11.086,0.127,0.343,0.385,0.187,0.252,0.356,0.669,0.465
Mag1c-SAS (tile-wise),35.000,SELECT-HIGHEST-VARIANCE,0.559,-,0.559,0.116,0.332,0.451,0.164,0.241,0.419,0.642,0.507
MF,35.000,SELECT-HIGHEST-VARIANCE,1.239,0.544,0.544,0.068,0.200,0.425,0.079,0.133,0.388,0.370,0.378
ACE,50.000,SELECT-HIGHEST-VARIANCE,10.935,2.287,2.287,0.054,0.124,0.305,0.045,0.079,0.254,0.315,0.281
CEM,50.000,SELECT-HIGHEST-VARIANCE,0.295,0.315,0.315,0.072,0.209,0.407,0.093,0.151,0.361,0.404,0.382
Mag1c (tile-wise),50.000,SELECT-HIGHEST-VARIANCE,33.263,-,33.263,0.145,0.385,0.435,0.198,0.272,0.404,0.689,0.509
Mag1c-SAS (tile-wise),50.000,SELECT-HIGHEST-VARIANCE,1.233,-,1.233,0.132,0.370,0.509,0.168,0.252,0.474,0.632,0.542
MF,50.000,SELECT-HIGHEST-VARIANCE,1.750,0.766,0.766,0.075,0.210,0.411,0.092,0.150,0.365,0.405,0.384
ACE,72.000,SELECT-HIGHEST-VARIANCE,13.206,3.730,3.730,0.069,0.141,0.252,0.112,0.155,0.203,0.545,0.296
CEM,72.000,SELECT-HIGHEST-VARIANCE,0.494,0.478,0.478,0.081,0.219,0.398,0.112,0.174,0.350,0.443,0.391
Mag1c (tile-wise),72.000,SELECT-HIGHEST-VARIANCE,55.188,-,55.188,0.152,0.396,0.445,0.205,0.280,0.411,0.703,0.518
Mag1c-SAS (tile-wise),72.000,SELECT-HIGHEST-VARIANCE,2.303,-,2.303,0.131,0.373,0.530,0.168,0.255,0.495,0.623,0.551
MF,72.000,SELECT-HIGHEST-VARIANCE,2.728,1.152,1.152,0.082,0.219,0.399,0.111,0.173,0.351,0.443,0.392
ACE,90.000,SELECT-HIGHEST-VARIANCE,16.573,Killed,Killed,0.071,0.141,0.216,0.181,0.197,0.169,0.673,0.270
CEM,90.000,SELECT-HIGHEST-VARIANCE,0.720,0.695,0.695,0.078,0.213,0.385,0.118,0.181,0.335,0.449,0.384
Mag1c (tile-wise),90.000,SELECT-HIGHEST-VARIANCE,Killed,-,Killed,0.148,0.389,0.442,0.212,0.286,0.404,0.704,0.513
Mag1c-SAS (tile-wise),90.000,SELECT-HIGHEST-VARIANCE,3.089,-,3.089,0.128,0.372,0.536,0.171,0.260,0.500,0.620,0.554
MF,90.000,SELECT-HIGHEST-VARIANCE,5.688,1.556,1.556,0.079,0.214,0.385,0.118,0.180,0.334,0.449,0.383
