METHOD,CHANNEL_N,SELECT_STRATEGY,RUNTIME_original (s),AUPRC_all,AUPRC_strong,Recall_all_seg,Precision_all_seg,F1-score_all_seg,Recall_strong_seg,Precision_strong_seg,F1-score_strong_seg
ACE,10.000,SELECT-EVENLY-SPACED,0.396,0.014507301385303966,0.09395572040011568,0.6771843767889123,0.004219112998750057,0.0083859782037538,0.66998718664783,0.042790852270795814,0.08044390023763463
CEM,10.000,SELECT-EVENLY-SPACED,0.061,0.031,0.138,0.503,0.017,0.033,0.494,0.136,0.213
Mag1c (tile-wise),10.000,SELECT-EVENLY-SPACED,9.305,0.030,0.165,0.277,0.067,0.107,0.254,0.350,0.295
Mag1c-SAS,10.000,SELECT-EVENLY-SPACED,0.289,0.032,0.168,0.373,0.058,0.100,0.351,0.332,0.341
MF,10.000,SELECT-EVENLY-SPACED,0.141,0.028264248894813725,0.13059341835807853,0.6056909074676092,0.016414481418583295,0.03196275847676583,0.5922397082498275,0.12437556923246763,0.2055779527738654
ACE,25.000,SELECT-HIGHEST-VARIANCE,0.861,0.06254183706466268,0.15638771805912402,0.45309833043606135,0.01209903555790348,0.02356871819108162,0.4194434405493314,0.11670207359033519,0.18259938011239216
CEM,25.000,SELECT-HIGHEST-VARIANCE,0.147,0.056,0.180,0.436,0.064,0.112,0.409,0.311,0.353
Mag1c (tile-wise),25.000,SELECT-HIGHEST-VARIANCE,20.412,0.094,0.288,0.319,0.166,0.218,0.299,0.627,0.405
Mag1c-SAS,25.000,SELECT-HIGHEST-VARIANCE,0.489,0.087,0.276,0.370,0.151,0.214,0.347,0.610,0.442
MF,25.000,SELECT-HIGHEST-VARIANCE,0.318,0.05251976348324335,0.17621575352140878,0.44894411503657916,0.06511492212839408,0.11373386703529977,0.41957485954594737,0.3089805813497728,0.3558836479564822
ACE,35.000,SELECT-HIGHEST-VARIANCE,1.226,0.0865448535880595,0.1820080880652481,0.41870919967018366,0.02416050678697928,0.045684887960972496,0.3728619771988041,0.21029147441955268,0.26891616511065825
CEM,35.000,SELECT-HIGHEST-VARIANCE,0.249,0.066,0.201,0.425,0.079,0.134,0.387,0.371,0.379
Mag1c (tile-wise),35.000,SELECT-HIGHEST-VARIANCE,29.327,0.127,0.343,0.385,0.187,0.252,0.356,0.669,0.465
Mag1c-SAS,35.000,SELECT-HIGHEST-VARIANCE,0.630,0.116,0.332,0.451,0.164,0.241,0.419,0.642,0.507
MF,35.000,SELECT-HIGHEST-VARIANCE,0.482,0.07354463710333778,0.22054619872233638,0.4564490123891203,0.08898271680271601,0.14893183154005785,0.4172487433058449,0.3992919530400116,0.40807290160468357
ACE,50.000,SELECT-HIGHEST-VARIANCE,1.891,0.1054746341514588,0.1993526148494657,0.3707282743987942,0.05445910436799203,0.09496768152529479,0.32002496960935706,0.39952584863250806,0.35538350961556003
CEM,50.000,SELECT-HIGHEST-VARIANCE,0.475,0.072,0.209,0.407,0.093,0.151,0.361,0.404,0.382
Mag1c (tile-wise),50.000,SELECT-HIGHEST-VARIANCE,43.386,0.145,0.385,0.435,0.198,0.272,0.404,0.689,0.509
Mag1c-SAS,50.000,SELECT-HIGHEST-VARIANCE,0.868,0.132,0.370,0.509,0.168,0.252,0.474,0.632,0.542
MF,50.000,SELECT-HIGHEST-VARIANCE,0.785,0.0931119188814243,0.24931274165430511,0.4539701379661676,0.11730571410735563,0.1864363460287915,0.41101291191641753,0.46632819664064773,0.43692677372711464
