METHOD,THRESHOLD,AUPRC_all,BEST_THRESHOLD_all,BEST_F1-SCORE_all,AUPRC_strong,BEST_THRESHOLD_strong,BEST_F1-SCORE_strong,AUPRC_weak,BEST_THRESHOLD_weak,BEST_F1-SCORE_weak,TN_all_seg,FP_all_seg,FN_all_seg,TP_all_seg,Recall_all_seg,Precision_all_seg,F1-score_all_seg,Iou_all_seg,TN_all_class_clas,FP_all_class_clas,FN_all_class_clas,TP_all_class_clas,Recall_all_class_clas,Precision_all_class_clas,F1-score_all_class_clas,Iou_all_class_clas,FPR_all_class_clas,TN_strong_seg,FP_strong_seg,FN_strong_seg,TP_strong_seg,Recall_strong_seg,Precision_strong_seg,F1-score_strong_seg,Iou_strong_seg,TN_strong_class_clas,FP_strong_class_clas,FN_strong_class_clas,TP_strong_class_clas,Recall_strong_class_clas,Precision_strong_class_clas,F1-score_strong_class_clas,Iou_strong_class_clas,FPR_strong_class_clas,TN_weak_seg,FP_weak_seg,FN_weak_seg,TP_weak_seg,Recall_weak_seg,Precision_weak_seg,F1-score_weak_seg,Iou_weak_seg,TN_weak_class_clas,FP_weak_class_clas,FN_weak_class_clas,TP_weak_class_clas,Recall_weak_class_clas,Precision_weak_class_clas,F1-score_weak_class_clas,Iou_weak_class_clas,FPR_weak_class_clas
MAG1C_SASdata_selected_50_highest_transmittance,0,0.05241718341566333,2011.3127,0.13368313109419064,0.33260276716366444,1597.1185,0.47122324425717255,0.02076925105858666,1517.5973,0.05776268731858279,86184921,1772673,32134,182332,0.8501673925004429,0.09326421160048184,0.16808890277860364,0.09175603719719658,0,26,0,26,1.0,0.5,0.6666666666666666,0.5,1.0,16742759,371970,20714,153197,0.8808931004939308,0.2917110176381989,0.43828299560277967,0.2806417515905481,0,26,0,11,1.0,0.2972972972972973,0.4583333333333333,0.2972972972972973,1.0,28274400,419957,11420,29135,0.7184071014671434,0.06487534848093486,0.11900409887122763,0.06326653811409909,0,26,0,15,1.0,0.36585365853658536,0.5357142857142857,0.36585365853658536,1.0
MAG1C_SAS_TILINGdata_selected_50_highest_transmittance,0,0.033643485710274645,1591.2529,0.08681842185292245,0.2274601620060932,1295.7588,0.38279375771673846,0.016041404369335373,1238.5315,0.04484117796411425,86102795,1854799,35108,179358,0.8363003926030234,0.08817313511198988,0.15952696383520049,0.08667715348203348,0,26,0,26,1.0,0.5,0.6666666666666666,0.5,1.0,16783445,331284,24941,148970,0.8565875649038877,0.3101900244453976,0.45545084191297297,0.29487623590890644,0,26,0,11,1.0,0.2972972972972973,0.4583333333333333,0.2972972972972973,1.0,28216793,477564,10167,30388,0.7493034151152755,0.05982455035121429,0.11080259686749669,0.05865061887327042,0,26,0,15,1.0,0.36585365853658536,0.5357142857142857,0.36585365853658536,1.0
MAG1C_SASdata_selected_50_highest_transmittance,100,0.05241718341566333,2011.3127,0.13368313109419064,0.33260276716366444,1597.1185,0.47122324425717255,0.02076925105858666,1517.5973,0.05776268731858279,86288252,1669342,33804,180662,0.8423806104464111,0.09765492398935353,0.17502022310811008,0.09590255482512018,0,26,0,26,1.0,0.5,0.6666666666666666,0.5,1.0,16765704,349025,21940,151971,0.8738435176613325,0.3033377511996104,0.4503464921833675,0.29061108816375236,0,26,0,11,1.0,0.2972972972972973,0.4583333333333333,0.2972972972972973,1.0,28301851,392506,11864,28691,0.7074590062877574,0.068117769119913,0.1242701710008836,0.06625163660546667,0,26,0,15,1.0,0.36585365853658536,0.5357142857142857,0.36585365853658536,1.0
MAG1C_SAS_TILINGdata_selected_50_highest_transmittance,100,0.033643485710274645,1591.2529,0.08681842185292245,0.2274601620060932,1295.7588,0.38279375771673846,0.016041404369335373,1238.5315,0.04484117796411425,86233707,1723887,36870,177596,0.828084638124458,0.0933986788206889,0.1678641592968451,0.09162211423822184,0,26,0,26,1.0,0.5,0.6666666666666666,0.5,1.0,16813685,301044,26313,147598,0.8486984722070484,0.3289883693457144,0.47417007066065053,0.31076207219631335,0,26,0,11,1.0,0.2972972972972973,0.4583333333333333,0.2972972972972973,1.0,28253045,441312,10557,29998,0.7396868450252743,0.06364812968110162,0.1172105926367304,0.06225369240890121,0,26,0,15,1.0,0.36585365853658536,0.5357142857142857,0.36585365853658536,1.0
MAG1C_SAS_TILINGdata_selected_50_highest_transmittance,200,0.033643485710274645,1591.2529,0.08681842185292245,0.2274601620060932,1295.7588,0.38279375771673846,0.016041404369335373,1238.5315,0.04484117796411425,86411102,1546492,40042,174424,0.8132944149655423,0.10135532472241528,0.18024762036641861,0.09905063039550063,0,26,0,26,1.0,0.5,0.6666666666666666,0.5,1.0,16853917,260812,28731,145180,0.8347948088390038,0.357593253069026,0.5007044281543638,0.33395978588664504,0,26,0,11,1.0,0.2972972972972973,0.4583333333333333,0.2972972972972973,1.0,28300216,394141,11311,29244,0.7210948095179386,0.06907188492743012,0.12606802603784972,0.06727460110053923,0,26,0,15,1.0,0.36585365853658536,0.5357142857142857,0.36585365853658536,1.0
MAG1C_SASdata_selected_50_highest_transmittance,200,0.05241718341566333,2011.3127,0.13368313109419064,0.33260276716366444,1597.1185,0.47122324425717255,0.02076925105858666,1517.5973,0.05776268731858279,86425007,1532587,36307,178159,0.8307097628528531,0.10414111738387814,0.18507987691745117,0.10197687190943835,0,26,0,26,1.0,0.5,0.6666666666666666,0.5,1.0,16795218,319511,23836,150075,0.8629413895613274,0.31959002184903296,0.46643574095916523,0.3041514160292812,0,26,0,11,1.0,0.2972972972972973,0.4583333333333333,0.2972972972972973,1.0,28336324,358033,12471,28084,0.6924916779681913,0.07273443023746688,0.1316421044736941,0.07045871927905506,0,26,0,15,1.0,0.36585365853658536,0.5357142857142857,0.36585365853658536,1.0
MAG1C_SAS_TILINGdata_selected_50_highest_transmittance,300,0.033643485710274645,1591.2529,0.08681842185292245,0.2274601620060932,1295.7588,0.38279375771673846,0.016041404369335373,1238.5315,0.04484117796411425,86622752,1334842,45040,169426,0.7899900217283858,0.11263019621503614,0.1971520898521819,0.10935591890056721,0,26,0,26,1.0,0.5,0.6666666666666666,0.5,1.0,16898895,215834,32656,141255,0.8122257936530755,0.39557365250679805,0.5320338983050847,0.36242928068352387,0,26,0,11,1.0,0.2972972972972973,0.4583333333333333,0.2972972972972973,1.0,28355703,338654,12384,28171,0.6946369128344224,0.0767968377291624,0.13830330404045363,0.0742888486296475,0,26,0,15,1.0,0.36585365853658536,0.5357142857142857,0.36585365853658536,1.0
MAG1C_SASdata_selected_50_highest_transmittance,300,0.05241718341566333,2011.3127,0.13368313109419064,0.33260276716366444,1597.1185,0.47122324425717255,0.02076925105858666,1517.5973,0.05776268731858279,86593036,1364558,40225,174241,0.8124411328602202,0.11323181260190578,0.1987617388130146,0.11034727781211685,0,26,0,26,1.0,0.5,0.6666666666666666,0.5,1.0,16831435,283294,26820,147091,0.8457831879524584,0.3417660931491571,0.4868177184690946,0.3217178289826227,0,26,0,11,1.0,0.2972972972972973,0.4583333333333333,0.2972972972972973,1.0,28376484,317873,13405,27150,0.6694612254962397,0.07869040614683659,0.14082753684079485,0.0757474304462821,0,26,0,15,1.0,0.36585365853658536,0.5357142857142857,0.36585365853658536,1.0
MAG1C_SASdata_selected_50_highest_transmittance,400,0.05241718341566333,2011.3127,0.13368313109419064,0.33260276716366444,1597.1185,0.47122324425717255,0.02076925105858666,1517.5973,0.05776268731858279,86776413,1181181,45493,168973,0.7878777988119329,0.12515090871115442,0.21599238153673095,0.12107144571657447,0,26,0,26,1.0,0.5,0.6666666666666666,0.5,1.0,16870749,243980,30879,143032,0.8224436637130487,0.3695802714127727,0.5099880019182669,0.3422710706858966,0,26,0,11,1.0,0.2972972972972973,0.4583333333333333,0.2972972972972973,1.0,28420352,274005,14614,25941,0.6396498582172359,0.08648556740213238,0.15236959656506147,0.08246757375381485,0,26,0,15,1.0,0.36585365853658536,0.5357142857142857,0.36585365853658536,1.0
MAG1C_SAS_TILINGdata_selected_50_highest_transmittance,400,0.033643485710274645,1591.2529,0.08681842185292245,0.2274601620060932,1295.7588,0.38279375771673846,0.016041404369335373,1238.5315,0.04484117796411425,86837537,1120057,51804,162662,0.7584512230376843,0.126810314651923,0.21729044840817935,0.12188774565893581,0,26,0,26,1.0,0.5,0.6666666666666666,0.5,1.0,16942687,172042,37962,135949,0.7817159351622381,0.4414057553629814,0.5642184510543637,0.39296956522995896,0,26,0,11,1.0,0.2972972972972973,0.4583333333333333,0.2972972972972973,1.0,28411533,282824,13842,26713,0.6586857354210331,0.08629986075977993,0.15260560081350044,0.0826058587601545,0,26,0,15,1.0,0.36585365853658536,0.5357142857142857,0.36585365853658536,1.0
