METHOD,THRESHOLD,WHOLE_IMAGE,MAG1C,SAMPLED,SPED_UP,PRECISION,WAVELENGTH_RANGE,CHANNEL_N,SELECT_STRATEGY,AUPRC_all,BEST_THRESHOLD_all,BEST_F1-SCORE_all,AUPRC_strong,BEST_THRESHOLD_strong,BEST_F1-SCORE_strong,AUPRC_weak,BEST_THRESHOLD_weak,BEST_F1-SCORE_weak,TN_all_seg,FP_all_seg,FN_all_seg,TP_all_seg,Recall_all_seg,Precision_all_seg,F1-score_all_seg,Iou_all_seg,TN_all_tile_clas,FP_all_tile_clas,FN_all_tile_clas,TP_all_tile_clas,FPR_all_tile_clas,TN_strong_seg,FP_strong_seg,FN_strong_seg,TP_strong_seg,Recall_strong_seg,Precision_strong_seg,F1-score_strong_seg,Iou_strong_seg,TN_weak_seg,FP_weak_seg,FN_weak_seg,TP_weak_seg,Recall_weak_seg,Precision_weak_seg,F1-score_weak_seg,Iou_weak_seg
CEM,0.004,True,-,-,True,float64,200-2600,125,SELECT-HIGHEST-VARIANCE,0.08398414679233256,0.011351402848958969,0.17248979441820772,0.20735568001647908,0.007576419040560722,0.2617953523139833,0.1478318610843148,0.013245118781924248,0.25482043861106723,79024423,413603,121335,69074,0.36276646587083594,0.14310605228755463,0.20524568925813347,0.1143586551260571,0,175,0,167,1.0,6167135,45270,106097,46088,0.3028419358018202,0.504476893101863,0.3784793650402598,0.23341014408346206,29287110,156187,15238,22986,0.6013499372122227,0.1282894186065981,0.2114656595997185,0.11823405054240758
MF,0.004,True,-,-,True,float64,200-2600,125,SELECT-HIGHEST-VARIANCE,0.11396453364636382,0.011313842609524727,0.17256343760252196,0.25201502179600244,0.007469587959349155,0.2620120512081086,0.14828433426722967,0.013223724439740181,0.2560277274978704,79030962,407064,121441,68968,0.412737843274215,0.19274859710395165,0.2627792629447769,0.11543283127438395,0,175,0,167,1.0,6167500,44905,106251,45934,0.35745309984558266,0.5687416359986618,0.43899722797206187,0.2330610381044193,29288334,154963,15190,23034,0.6026056927584763,0.1294066753934055,0.2130597860522336,0.11923162531640327
ACE,0.03,True,-,-,True,float64,200-2600,125,SELECT-HIGHEST-VARIANCE,0.1288840507367595,0.09208373725414276,0.13339976843512785,0.21739618073320638,0.04738985374569893,0.18312031086234096,0.1910260924100633,0.10335123538970947,0.26377777377477835,79372229,65797,157094,33315,0.24001491526135846,0.4184383526524932,0.3050526154185037,0.1300320835577621,0,175,1,166,1.0,6208511,3894,132869,19316,0.18975588921378586,0.9004396495276106,0.3134551927752692,0.12375784058073155,29420456,22841,24225,13999,0.36623587275010466,0.3799945711183496,0.37298838324629646,0.22924752313108981
MAG1C_TILE,300.0,True,GENERATED,0.01,True,float64,200-2600,125,SELECT-HIGHEST-VARIANCE,0.17071380295708544,1036.4005126953125,0.2696883633691149,0.4044662136721723,678.5115966796875,0.43200740735821763,0.14979359609329618,1145.7493896484375,0.25879212041369726,79143146,294880,102258,88151,0.4629560577493711,0.23014064135801018,0.3074462890625,0.18164640039234353,0,175,0,167,1.0,6186992,25413,88329,63856,0.41959457239543974,0.7153211081114385,0.5289289057128893,0.35955359857656055,29333147,110150,13929,24295,0.6355954374215153,0.18070586485179813,0.28140546363273083,0.16374162589132868
MAG1C_TILE_SAMPLED-0.01,300.0,True,GENERATED,0.01,True,float64,200-2600,125,SELECT-HIGHEST-VARIANCE,0.14021855876387143,1142.360595703125,0.2494891697994272,0.3720794979848563,746.2877807617188,0.4115597487913153,0.1291000448947007,1206.1282958984375,0.24595284071047224,78967304,470722,86471,103938,0.5458670546035114,0.18086868757178157,0.27170882626272924,0.15721241327361749,0,175,0,167,1.0,6165057,47348,75249,76936,0.5055425961822781,0.6190338257539184,0.556561495140504,0.3855803300707151,29263398,179899,11222,27002,0.7064148179154458,0.13050686076916013,0.22031208567057622,0.12379253907199149
CEM,0.004,True,-,-,True,float64,2122-2488,72,SELECT-ALL,0.0863267284843276,0.012876056134700775,0.1709146329954602,0.22785201424729556,0.008381552994251251,0.2796385163584214,0.11949680872050784,0.014614535495638847,0.2191341848239906,78848594,589432,114403,76006,0.39917230803165815,0.11421950655057271,0.17761585890936116,0.09746345729449978,0,175,0,167,1.0,6145479,66926,98683,53502,0.35155895784735686,0.44426545321685984,0.39251246272188045,0.244177608609335,29222087,221210,15720,22504,0.5887400586019255,0.09233774013803064,0.15963793458136186,0.08674267829197407
MF,0.004,True,-,-,True,float64,2122-2488,72,SELECT-ALL,0.10583049232482687,0.01281452551484108,0.1699566522689336,0.26479921352629304,0.008444233797490597,0.2791789695465052,0.12084762388685788,0.014585376717150211,0.21966293823691008,78852762,585264,114576,75833,0.44086676575161887,0.14816743299414883,0.2217939030125607,0.09776413514457767,0,175,0,167,1.0,6145223,67182,98853,53332,0.39651082563984624,0.5271235892239421,0.45258211736999415,0.24311769773940475,29223261,220036,15723,22501,0.5886615738802846,0.0927734737380276,0.16028579467946047,0.08712537752652366
ACE,0.03,True,-,-,True,float64,2122-2488,72,SELECT-ALL,0.11835288641913672,0.15286263823509216,0.12520399110611596,0.21306474717854182,0.08203165978193283,0.18439840380566716,0.1549090132530617,0.17531444132328033,0.2257068542471733,79050694,387332,142086,48323,0.3156100814562337,0.13698583298191228,0.19104949261171447,0.08364128562798902,0,175,0,167,1.0,6185507,26898,121107,31078,0.263869632355357,0.648080305989058,0.3750396921755048,0.17353964362893184,29305251,138046,20979,17245,0.4511563415655086,0.11104957788925308,0.1782290778492623,0.09783287002893289
MAG1C_TILE,300.0,True,GENERATED,0.01,True,float64,2122-2488,72,SELECT-ALL,0.12488609905962564,1103.553955078125,0.23295695680206074,0.3830484874353628,701.86376953125,0.4181745902715474,0.1095679102717773,1203.91796875,0.22290407850032729,79156024,282002,107181,83228,0.43710118744387083,0.22787832324836405,0.2995758037142821,0.17617710002518994,0,175,0,167,1.0,6188772,23633,90774,61411,0.40352860005913854,0.7221085555712338,0.5177360272142107,0.349287331217509,29344373,98924,16407,21817,0.57076705734617,0.18069255679512344,0.2744880948636492,0.15907632630443025
MAG1C_TILE_SAMPLED-0.01,300.0,True,GENERATED,0.01,True,float64,2122-2488,72,SELECT-ALL,0.1118851206073205,1163.9891357421875,0.2227531665938976,0.3592673892716081,722.2697143554688,0.40616485955539317,0.10009481958691457,1291.9410400390625,0.21486361529972983,79021414,416612,89882,100527,0.5279529854156053,0.19439067639454768,0.28415598659030905,0.16560712067622044,0,175,0,167,1.0,6172408,39997,76807,75378,0.4953050563458948,0.6533304442036837,0.5634474510390193,0.39222195627061845,29290574,152723,13075,25149,0.6579374215152783,0.14138818925969238,0.23275766326077302,0.13170670395450046
CEM,0.004,True,-,-,True,float64,200-2600,110,SELECT-HIGHEST-VARIANCE,0.08243392531260547,0.01173426117748022,0.16935037249665377,0.20594100806618237,0.007682408671826124,0.2608601602315389,0.139210915939838,0.013618912547826767,0.24432693755506857,78966292,471734,120398,70011,0.36768745174860434,0.12923238793159142,0.19124665029488333,0.1057339577704514,0,175,0,167,1.0,6159939,52466,104888,47297,0.310786214147255,0.47409360183635213,0.3754504897836062,0.23111052474700833,29262923,180374,15510,22714,0.5942339891167853,0.11184314188923028,0.1882542103169341,0.10390762953000485
MF,0.004,True,-,-,True,float64,200-2600,110,SELECT-HIGHEST-VARIANCE,0.11161826027031879,0.011649074032902718,0.16916177454062756,0.2532215975064444,0.007579975761473179,0.2606446724482219,0.13997107912821877,0.01352803036570549,0.24581325296319315,78972510,465516,120789,69620,0.4157944214821778,0.18231369903075828,0.25348266113411,0.10614018371002783,0,175,0,167,1.0,6160944,51461,105331,46854,0.3628084239576831,0.5551042567309432,0.4388140718693746,0.2300757196311246,29263921,179376,15458,22766,0.59559439095856,0.11262379911151567,0.18942778928800244,0.10462316176470589
ACE,0.03,True,-,-,True,float64,200-2600,110,SELECT-HIGHEST-VARIANCE,0.12564146096046602,0.10231262445449829,0.12837114486391804,0.2149964984739866,0.05308659374713898,0.17986574984270456,0.17867765086697546,0.11665207892656326,0.250546066487395,79336498,101528,154338,36071,0.25568644339290686,0.341937069813176,0.2925877958706568,0.12355747986723163,0,175,0,167,1.0,6206230,6175,130707,21478,0.2056838716036403,0.8575655461494206,0.33178932194227445,0.13562768375852488,29407238,36059,23631,14593,0.3817758476349937,0.2881031351180605,0.32839011656690226,0.19645140880147544
MAG1C_TILE,300.0,True,GENERATED,0.01,True,float64,200-2600,110,SELECT-HIGHEST-VARIANCE,0.15673998861633726,1084.1087646484375,0.2579419666498566,0.39438765231996914,673.9697875976562,0.42497499283180296,0.13809785270583047,1161.3780517578125,0.24942772559423454,79131240,306786,103691,86718,0.455430152986466,0.22037387167601855,0.2970237004485257,0.17441446514948863,0,175,0,167,1.0,6186472,25933,89190,62995,0.41393698459112266,0.7083820618927672,0.5225350769141439,0.3536700389629347,29331852,111445,14501,23723,0.6206310171619924,0.1755075165719697,0.27363430838793024,0.15850309683367966
MAG1C_TILE_SAMPLED-0.01,300.0,True,GENERATED,0.01,True,float64,200-2600,110,SELECT-HIGHEST-VARIANCE,0.12856130206532373,1151.0518798828125,0.23806435594966105,0.364710377625349,729.6110229492188,0.40727985734786654,0.1166000114686968,1268.4246826171875,0.23406026297688282,78950299,487727,87621,102788,0.5398274241238596,0.17406501104967698,0.2632471277614723,0.15157431547654157,0,175,0,167,1.0,6164249,48156,76033,76152,0.5003909715149325,0.6126073945361521,0.5508421551359347,0.38011190919482285,29257450,185847,11588,26636,0.6968396818752616,0.12535591082580724,0.21248708651932335,0.11887303577883795
CEM,0.004,True,-,-,True,float64,200-2600,10,SELECT-EVENLY-SPACED,0.030945494464916384,0.023086370900273323,0.09885008675136953,0.1380691903336832,0.014051182195544243,0.1995928897371722,0.03298814156741062,0.025074943900108337,0.11013055936526658,73903453,5534573,94554,95855,0.5034163301104465,0.01702446066267076,0.0329351259964847,0.01674328408368795,0,175,0,167,1.0,5735833,476572,77053,75132,0.49368860268751846,0.1361817206328031,0.21347684080870707,0.11949290425394866,27344411,2098886,17501,20723,0.5421462955211386,0.009776803174547759,0.019207232441064717,0.009696739989986478
MF,0.004,True,-,-,True,float64,200-2600,10,SELECT-EVENLY-SPACED,0.028264248894813725,0.023061953485012054,0.10026173408517021,0.13059341835807853,0.01391578745096922,0.20142354673333862,0.03453024000520905,0.02548690140247345,0.11332815968272807,74580045,4857981,96276,94133,0.6056909074676092,0.016414481418583295,0.03196275847676583,0.018646142631611268,0,175,0,167,1.0,5776033,436372,78966,73219,0.5922397082498275,0.12437556923246763,0.2055779527738654,0.12440426330839664,27561131,1882166,17310,20914,0.5471431561322729,0.010989553775984194,0.021546342046377075,0.010890496201292446
ACE,0.03,True,-,-,True,float64,200-2600,10,SELECT-EVENLY-SPACED,0.014507301385303966,0.6349692344665527,0.0182132008171396,0.09395572040011568,0.39260655641555786,0.0797910632235702,0.003392325854241999,0.6904056072235107,0.01885908859385972,49223917,30214109,80443,109966,0.6771843767889123,0.004219112998750057,0.0083859782037538,0.0036167651136584373,0,175,0,167,1.0,3909637,2302768,66094,86091,0.66998718664783,0.042790852270795814,0.08044390023763463,0.03506828847639853,18160408,11282889,14349,23875,0.6246075763917958,0.0021115679074932493,0.004208907052171408,0.0021088915904293156
MAG1C_TILE,300.0,True,GENERATED,0.01,True,float64,200-2600,10,SELECT-EVENLY-SPACED,0.03028413005518588,2349.697509765625,0.09752341789206383,0.16470141089852908,1173.4976806640625,0.2402625832934411,0.027917183944602835,2690.03466796875,0.09260573370482567,78698018,740008,137589,52820,0.27740285385669794,0.06662226863834274,0.10744103405384459,0.05677024387989471,0,175,0,167,1.0,6140411,71994,113461,38724,0.25445346124782336,0.3497534276269441,0.29458773768271945,0.17273696465770658,29173656,269641,24128,14096,0.36877354541649227,0.04967980911900809,0.08756340053608977,0.04578630243775681
MAG1C_TILE_SAMPLED-0.01,300.0,True,GENERATED,0.01,True,float64,200-2600,10,SELECT-EVENLY-SPACED,0.03198139429057649,2328.09521484375,0.09994193888564824,0.16756887098146273,1231.1551513671875,0.24829714645902098,0.028924768930531787,2722.975341796875,0.09482365761766988,78284829,1153197,119344,71065,0.3732229043795199,0.0580472153836352,0.1004685895165731,0.052891249369234734,0,175,0,167,1.0,6104679,107726,98736,53449,0.35121069750632455,0.33162090894989915,0.34113479703854993,0.2056434702648214,29013968,429329,20608,17616,0.46086228547509417,0.039414245600689124,0.07261799496670233,0.03767701201788888
CEM,0.004,True,-,-,True,float64,200-2600,25,SELECT-EVENLY-SPACED,0.041545639875243304,0.018260370939970016,0.11466265386926026,0.1593080615517955,0.011797459796071053,0.22072315880840965,0.05115882124616151,0.021368147805333138,0.13969216085722458,77130105,2307921,107473,82936,0.4355676464872984,0.034688816604255296,0.06425994066477458,0.03319657531230862,0,175,0,167,1.0,6009884,202521,91060,61125,0.4016493084075303,0.23184497394233175,0.2939896255930895,0.17232581349060913,28548831,894466,16413,21811,0.5706100879028883,0.02380393701904555,0.04570136647316241,0.023385047550633115
MF,0.004,True,-,-,True,float64,200-2600,25,SELECT-EVENLY-SPACED,0.041687794661711304,0.01835792139172554,0.11553305634737897,0.16345846015182383,0.011833865195512772,0.22178923261447314,0.052383514936036324,0.021014677360653877,0.14137897948880937,77312355,2125671,108170,82239,0.4978756256269399,0.03379273149714277,0.06328974485820894,0.035507840834513485,0,175,0,167,1.0,6022533,189872,91876,60309,0.45712783782895816,0.21928724081627507,0.2963928671093302,0.17631271980985624,28613193,830104,16294,21930,0.5737233151946421,0.025738409500090372,0.04926661709302248,0.02525543343068518
ACE,0.03,True,-,-,True,float64,200-2600,25,SELECT-EVENLY-SPACED,0.05001766794680876,0.35257238149642944,0.05373701623584001,0.13907788204161936,0.19667549431324005,0.12262576857502733,0.03417095776278799,0.3987770080566406,0.08248403980028678,72261235,7176791,118038,72371,0.45831867191151676,0.01134845845597869,0.02214849654783139,0.00982340645021175,0,175,0,167,1.0,5661412,550993,100284,51901,0.4190426126096527,0.10245600731323692,0.1646540617439822,0.07380919198268433,26789473,2653824,17754,20470,0.5355274173294265,0.00765435662645917,0.015092987401373926,0.007603876305325908
MAG1C_TILE,300.0,True,GENERATED,0.01,True,float64,200-2600,25,SELECT-EVENLY-SPACED,0.044366313868810965,1736.961181640625,0.1293659230416075,0.21340729453728427,985.2510375976562,0.285655721129074,0.04168588622895676,1875.8297119140625,0.12375298148318144,78830525,607501,128116,62293,0.3271536534512549,0.09300322188613215,0.14483325447597833,0.07807020841949594,0,175,0,167,1.0,6160223,52182,107518,44667,0.29350461609225614,0.46120249047486295,0.35872210220291206,0.2185626837992435,29213092,230205,20598,17626,0.461123901213897,0.07112104619680347,0.123235042212162,0.06566354604010743
