METHOD,THRESHOLD,WHOLE_IMAGE,MAG1C,SAMPLED,SPED_UP,PRECISION,WAVELENGTH_RANGE,CHANNEL_N,SELECT_STRATEGY,AUPRC_all,BEST_THRESHOLD_all,BEST_F1-SCORE_all,AUPRC_strong,BEST_THRESHOLD_strong,BEST_F1-SCORE_strong,AUPRC_weak,BEST_THRESHOLD_weak,BEST_F1-SCORE_weak,TN_all_seg,FP_all_seg,FN_all_seg,TP_all_seg,Recall_all_seg,Precision_all_seg,F1-score_all_seg,Iou_all_seg,TN_all_class_clas,FP_all_class_clas,FN_all_class_clas,TP_all_class_clas,Recall_all_class_clas,Precision_all_class_clas,F1-score_all_class_clas,Iou_all_class_clas,FPR_all_class_clas,TN_strong_seg,FP_strong_seg,FN_strong_seg,TP_strong_seg,Recall_strong_seg,Precision_strong_seg,F1-score_strong_seg,Iou_strong_seg,TN_strong_class_clas,FP_strong_class_clas,FN_strong_class_clas,TP_strong_class_clas,Recall_strong_class_clas,Precision_strong_class_clas,F1-score_strong_class_clas,Iou_strong_class_clas,FPR_strong_class_clas,TN_weak_seg,FP_weak_seg,FN_weak_seg,TP_weak_seg,Recall_weak_seg,Precision_weak_seg,F1-score_weak_seg,Iou_weak_seg,TN_weak_class_clas,FP_weak_class_clas,FN_weak_class_clas,TP_weak_class_clas,Recall_weak_class_clas,Precision_weak_class_clas,F1-score_weak_class_clas,Iou_weak_class_clas,FPR_weak_class_clas
MF,0.004,True,-,-,True,float64,200-2800,10,SELECT-EVENLY-SPACED,0.028264248894813725,0.029497433,0.09015628002373315,0.13059341835807853,0.017314736,0.1974064694081603,0.029286293089443683,0.034505967,0.09742818926791154,72525737,6910723,75080,115329,0.6056909074676092,0.016414481418583295,0.03196275847676583,0.016240931727504855,0,175,0,167,1.0,0.48830409356725146,0.656188605108055,0.48830409356725146,1.0,5577715,634530,62055,90130,0.5922397082498275,0.12437556923246763,0.2055779527738654,0.11456499494734433,0,175,0,31,1.0,0.15048543689320387,0.26160337552742613,0.15048543689320387,1.0,26873099,2569883,13025,25199,0.6592455002092926,0.009710290464809975,0.01913867966730794,0.009661796851126123,0,175,0,136,1.0,0.43729903536977494,0.6085011185682326,0.43729903536977494,1.0
ACE,0.03,True,-,-,True,float64,200-2800,10,SELECT-EVENLY-SPACED,0.014507301385303966,0.7016252,0.05132671869452627,0.09395572040011568,0.46131605,0.14449312345243173,0.009722181775179415,0.73924136,0.04349601523025011,49004002,30432458,61467,128942,0.6771843767889123,0.004219112998750057,0.0083859782037538,0.0042106442874862106,0,175,0,167,1.0,0.48830409356725146,0.656188605108055,0.48830409356725146,1.0,3931408,2280837,50223,101962,0.66998718664783,0.042790852270795814,0.08044390023763463,0.04190755365138499,0,175,0,31,1.0,0.15048543689320387,0.26160337552742613,0.15048543689320387,1.0,18040055,11402927,11244,26980,0.7058392632900795,0.002360474149089752,0.004705213081364347,0.0023581543500299927,0,175,0,136,1.0,0.43729903536977494,0.6085011185682326,0.43729903536977494,1.0
MF,0.004,True,-,-,True,float64,200-2800,25,SELECT-EVENLY-SPACED,0.041687794661711304,0.02184292,0.11495153727977765,0.16345846015182383,0.013149823,0.21945950767559105,0.0493550975391351,0.023386285,0.13413067228483436,76725923,2710537,95609,94800,0.4978756256269399,0.03379273149714277,0.06328974485820894,0.032678995058853216,0,175,0,167,1.0,0.48830409356725146,0.656188605108055,0.48830409356725146,1.0,5964567,247678,82617,69568,0.45712783782895816,0.21928724081627507,0.2963928671093302,0.17397958800889304,0,175,0,31,1.0,0.15048543689320387,0.26160337552742613,0.15048543689320387,1.0,28459138,983844,12992,25232,0.660108832147342,0.025005054128727666,0.04818485629714504,0.024687202808423705,0,175,0,136,1.0,0.43729903536977494,0.6085011185682326,0.43729903536977494,1.0
ACE,0.03,True,-,-,True,float64,200-2800,25,SELECT-EVENLY-SPACED,0.05001766794680876,0.38599828,0.09958777628502087,0.13907788204161936,0.23588678,0.18044120338310363,0.06723840366799771,0.40888292,0.12417455468876143,71833873,7602587,103141,87268,0.45831867191151676,0.01134845845597869,0.02214849654783139,0.011198260591946922,0,175,0,167,1.0,0.48830409356725146,0.656188605108055,0.48830409356725146,1.0,5653584,558661,88413,63772,0.4190426126096527,0.10245600731323692,0.1646540617439822,0.08971282106110184,0,175,0,31,1.0,0.15048543689320387,0.26160337552742613,0.15048543689320387,1.0,26653721,2789261,14728,23496,0.6146923398911679,0.008353370020943864,0.016482747517433474,0.008309858407736912,0,175,0,136,1.0,0.43729903536977494,0.6085011185682326,0.43729903536977494,1.0
MF,0.004,True,-,-,True,float64,200-2800,110,SELECT-HIGHEST-VARIANCE,0.11161826027031879,0.012002496,0.19889725284777782,0.2532215975064444,0.007843623,0.2963723080875116,0.1550527659231565,0.013716783,0.25361712481250215,79081374,355086,111238,79171,0.4157944214821778,0.18231369903075828,0.25348266113411,0.14513606907487694,0,175,0,167,1.0,0.48830409356725146,0.656188605108055,0.48830409356725146,1.0,6167993,44252,96971,55214,0.3628084239576831,0.5551042567309432,0.4388140718693746,0.2810773937700128,0,175,0,31,1.0,0.15048543689320387,0.26160337552742613,0.15048543689320387,1.0,29319270,123712,14267,23957,0.6267528254499791,0.16223445679187914,0.25775042632051776,0.1479411619405197,0,175,0,136,1.0,0.43729903536977494,0.6085011185682326,0.43729903536977494,1.0
ACE,0.03,True,-,-,True,float64,200-2800,110,SELECT-HIGHEST-VARIANCE,0.12564146096046602,0.10780555,0.18989146761285625,0.2149964984739866,0.05700689,0.25300570342938045,0.23770398705862095,0.123384275,0.3091685226016822,79342765,93695,141724,48685,0.25568644339290686,0.341937069813176,0.2925877958706568,0.1713633035789711,0,175,0,167,1.0,0.48830409356725146,0.656188605108055,0.48830409356725146,1.0,6207046,5199,120883,31302,0.2056838716036403,0.8575655461494206,0.33178932194227445,0.19888934072078482,0,175,0,31,1.0,0.15048543689320387,0.26160337552742613,0.15048543689320387,1.0,29410072,32910,20841,17383,0.4547666387609879,0.34563458135326985,0.39276071263147194,0.2443697809767481,0,175,0,136,1.0,0.43729903536977494,0.6085011185682326,0.43729903536977494,1.0
MF,0.004,True,-,-,True,float64,200-2800,35,SELECT-EVENLY-SPACED,0.06549362842575272,0.018551052,0.14453265857374142,0.21187551053904102,0.01156363,0.2599462431035831,0.07204542059025598,0.021251956,0.1614774159562377,77783781,1652679,95650,94759,0.49766029967070885,0.05422738889734571,0.09779822658858,0.05141317180731468,0,175,0,167,1.0,0.48830409356725146,0.656188605108055,0.48830409356725146,1.0,6046842,165403,82133,70052,0.46030817754706443,0.2975175723598989,0.3614281291920338,0.2205750847009333,0,175,0,31,1.0,0.15048543689320387,0.26160337552742613,0.15048543689320387,1.0,28852673,590309,13517,24707,0.6463740058601926,0.04017293859021554,0.07564447982364828,0.03930899411804949,0,175,0,136,1.0,0.43729903536977494,0.6085011185682326,0.43729903536977494,1.0
ACE,0.03,True,-,-,True,float64,200-2800,35,SELECT-EVENLY-SPACED,0.0801428780861957,0.29503307,0.1321511964088716,0.17098057690382806,0.16990127,0.2095554995466475,0.11263995477525188,0.3199162,0.17446483176491487,75871956,3564504,111461,78948,0.4146232583543845,0.02166846166767121,0.0411845917209831,0.021025254113743782,0,175,0,167,1.0,0.48830409356725146,0.656188605108055,0.48830409356725146,1.0,5962120,250125,95104,57081,0.37507638729178305,0.18580691783363606,0.2485072628762862,0.14188312495339414,0,175,0,31,1.0,0.15048543689320387,0.26160337552742613,0.15048543689320387,1.0,28125609,1317373,16357,21867,0.5720751360401842,0.016327917326244737,0.03174965008159923,0.016130900260180568,0,175,0,136,1.0,0.43729903536977494,0.6085011185682326,0.43729903536977494,1.0
MF,0.004,True,-,-,True,float64,200-2800,100,SELECT-HIGHEST-VARIANCE,0.1072728464483402,0.0124223605,0.19321472766487824,0.24963344299036289,0.008376904,0.2926519746946749,0.1455198745221678,0.013754454,0.2436126667455742,79046704,389756,111551,78858,0.4141505916211944,0.16827922341201929,0.23931789937528739,0.1359234011014108,0,175,0,167,1.0,0.48830409356725146,0.656188605108055,0.48830409356725146,1.0,6164781,47464,96995,55190,0.3626507211617439,0.53763126619518,0.43313621541443814,0.2764351436771534,0,175,0,31,1.0,0.15048543689320387,0.26160337552742613,0.15048543689320387,1.0,29307736,135246,14556,23668,0.6191921305985768,0.14893590243779656,0.24011606083048426,0.13643857727560962,0,175,0,136,1.0,0.43729903536977494,0.6085011185682326,0.43729903536977494,1.0
ACE,0.03,True,-,-,True,float64,200-2800,100,SELECT-HIGHEST-VARIANCE,0.12229147755124346,0.117434576,0.18582343080730981,0.21123008329259912,0.064064555,0.2500990901500524,0.2251099585374578,0.13492192,0.29741705798153184,79312610,123850,140043,50366,0.2645148075983803,0.2891008862561418,0.27626191292423724,0.160269077417035,0,175,0,167,1.0,0.48830409356725146,0.656188605108055,0.48830409356725146,1.0,6205170,7075,119311,32874,0.21601340473765482,0.8228991964755062,0.34219867384221425,0.20641717945497928,0,175,0,31,1.0,0.15048543689320387,0.26160337552742613,0.15048543689320387,1.0,29399766,43216,20732,17492,0.4576182503139389,0.2881333596890031,0.3536166255609914,0.21478388998035364,0,175,0,136,1.0,0.43729903536977494,0.6085011185682326,0.43729903536977494,1.0
