Method,Channels,Min,Max,Mean,Median
Original,10,8.637972354888916,8.637972354888916,8.637972354888916,8.637972354888916
Tile-wise,10,1.296689510345459,1.296689510345459,1.296689510345459,1.296689510345459
Tile-wise and Sampled,10,0.044980525970458984,0.044980525970458984,0.044980525970458984,0.044980525970458984
ACE_optimized,10,0.10811352729797363,0.10811352729797363,0.10811352729797363,0.10811352729797363
ACE_optimized_addition,10,0.1553037166595459,0.1553037166595459,0.1553037166595459,0.1553037166595459
ACE_original,10,1.5552895069122314,1.5552895069122314,1.5552895069122314,1.5552895069122314
ACE_numpy,10,0.153120756149292,0.153120756149292,0.153120756149292,0.153120756149292
ACE_numpy_addition,10,0.14557623863220215,0.14557623863220215,0.14557623863220215,0.14557623863220215
MatchedFilterOptimized,10,0.05071520805358887,0.05071520805358887,0.05071520805358887,0.05071520805358887
MatchedFilterOptimized_addition,10,0.05042695999145508,0.05042695999145508,0.05042695999145508,0.05042695999145508
MatchedFilterOriginal,10,0.09579181671142578,0.09579181671142578,0.09579181671142578,0.09579181671142578
MatchedFilterNumpy,10,0.05071115493774414,0.05071115493774414,0.05071115493774414,0.05071115493774414
MatchedFilterNumpy_addition,10,0.049985408782958984,0.049985408782958984,0.049985408782958984,0.049985408782958984
CEM_optimized,10,0.018752098083496094,0.018752098083496094,0.018752098083496094,0.018752098083496094
CEM_original,10,0.017882108688354492,0.017882108688354492,0.017882108688354492,0.017882108688354492
CEM_numpy,10,0.018576860427856445,0.018576860427856445,0.018576860427856445,0.018576860427856445
mag1c_SAS,10,0.07204318046569824,0.07204318046569824,0.07204318046569824,0.07204318046569824
mag1c_tile,10,3.2187957763671875,3.2187957763671875,3.2187957763671875,3.2187957763671875
Morphological_Baseline,10,0.12393927574157715,0.12393927574157715,0.12393927574157715,0.12393927574157715
Original,25,7.989677906036377,7.989677906036377,7.989677906036377,7.989677906036377
Tile-wise,25,3.32472562789917,3.32472562789917,3.32472562789917,3.32472562789917
Tile-wise and Sampled,25,0.06308317184448242,0.06308317184448242,0.06308317184448242,0.06308317184448242
ACE_optimized,25,0.21160268783569336,0.21160268783569336,0.21160268783569336,0.21160268783569336
ACE_optimized_addition,25,0.22535037994384766,0.22535037994384766,0.22535037994384766,0.22535037994384766
ACE_original,25,1.5259008407592773,1.5259008407592773,1.5259008407592773,1.5259008407592773
ACE_numpy,25,0.5364353656768799,0.5364353656768799,0.5364353656768799,0.5364353656768799
ACE_numpy_addition,25,0.5454175472259521,0.5454175472259521,0.5454175472259521,0.5454175472259521
MatchedFilterOptimized,25,0.08884572982788086,0.08884572982788086,0.08884572982788086,0.08884572982788086
MatchedFilterOptimized_addition,25,0.12871575355529785,0.12871575355529785,0.12871575355529785,0.12871575355529785
MatchedFilterOriginal,25,0.20322823524475098,0.20322823524475098,0.20322823524475098,0.20322823524475098
MatchedFilterNumpy,25,0.12788128852844238,0.12788128852844238,0.12788128852844238,0.12788128852844238
MatchedFilterNumpy_addition,25,0.12763762474060059,0.12763762474060059,0.12763762474060059,0.12763762474060059
CEM_optimized,25,0.054692745208740234,0.054692745208740234,0.054692745208740234,0.054692745208740234
CEM_original,25,0.05579400062561035,0.05579400062561035,0.05579400062561035,0.05579400062561035
CEM_numpy,25,0.05435037612915039,0.05435037612915039,0.05435037612915039,0.05435037612915039
mag1c_SAS,25,0.13567352294921875,0.13567352294921875,0.13567352294921875,0.13567352294921875
mag1c_tile,25,7.246041774749756,7.246041774749756,7.246041774749756,7.246041774749756
