Method,Channels,Min,Max,Mean,Median
Original,10,32.754870891571045,33.7627968788147,33.10436350822449,33.099005937576294
Tile-wise,10,7.050925254821777,7.109091520309448,7.082761528491974,7.08370840549469
Tile-wise and Sampled,10,0.2540738582611084,0.27686381340026855,0.2568523931503296,0.2564961910247803
ACE_optimized,10,0.38213181495666504,0.40851402282714844,0.39590619325637816,0.39682888984680176
ACE_optimized_addition,10,0.3759152889251709,0.39808034896850586,0.3860433292388916,0.39154350757598877
ACE_numpy,10,1.7014822959899902,1.8058772087097168,1.7554225039482116,1.7215360403060913
ACE_numpy_addition,10,1.6954736709594727,1.710263967514038,1.7023139142990111,1.7025078535079956
MatchedFilterOptimized,10,0.14028286933898926,0.14248442649841309,0.14085041761398315,0.14077281951904297
MatchedFilterOptimized_addition,10,0.1402430534362793,0.14992094039916992,0.1410917091369629,0.14079666137695312
MatchedFilterNumpy,10,0.13971662521362305,0.14295554161071777,0.14046753883361818,0.1401958465576172
MatchedFilterNumpy_addition,10,0.1396799087524414,0.1434643268585205,0.140553035736084,0.14029324054718018
CEM_optimized,10,0.060050249099731445,0.06321263313293457,0.060602116584777835,0.06045174598693848
CEM_numpy,10,0.05971860885620117,0.06237173080444336,0.06021259069442749,0.06004822254180908
mag1c_SAS,10,0.28604555130004883,0.2946336269378662,0.289172523021698,0.28928983211517334
mag1c_tile,10,9.263497352600098,9.34888768196106,9.305276799201966,9.307342767715454
Morphological_Baseline,10,0.05926394462585449,0.07302021980285645,0.06016162633895874,0.05976665019989014
Original,25,50.21972060203552,51.03628063201904,50.661157286167146,50.66836416721344
Tile-wise,25,17.830262899398804,17.931451320648193,17.88115311861038,17.880265951156616
Tile-wise and Sampled,25,0.427321195602417,0.44506335258483887,0.4319702482223511,0.4317537546157837
ACE_optimized,25,0.8502449989318848,0.8846948146820068,0.8606985712051392,0.857417106628418
ACE_optimized_addition,25,0.8518960475921631,0.8820745944976807,0.8574562835693359,0.855744481086731
ACE_numpy,25,8.789766073226929,9.058736562728882,8.862107222080231,8.859440565109253
ACE_numpy_addition,25,8.789661169052124,9.057067632675171,8.866232702732086,8.859318733215332
MatchedFilterOptimized,25,0.31653285026550293,0.32175731658935547,0.3178920888900757,0.3176581859588623
MatchedFilterOptimized_addition,25,0.31688523292541504,0.32262158393859863,0.3179409193992615,0.3177821636199951
MatchedFilterNumpy,25,0.3162050247192383,0.3193666934967041,0.3176625084877014,0.3176969289779663
MatchedFilterNumpy_addition,25,0.3163454532623291,0.32054853439331055,0.3175945496559143,0.3175218105316162
CEM_optimized,25,0.14564871788024902,0.14892840385437012,0.14665939807891845,0.14640843868255615
CEM_numpy,25,0.1454460620880127,0.1491689682006836,0.1466030526161194,0.14631438255310059
mag1c_SAS,25,0.4857041835784912,0.4932224750518799,0.4893152189254761,0.4894222021102905
mag1c_tile,25,20.384634733200073,20.473947286605835,20.41214377641678,20.414516806602478
Morphological_Baseline,25,0.05922961235046387,0.06644463539123535,0.05986999034881592,0.05965578556060791
Original,35,64.81872653961182,65.44326090812683,65.14243887662887,65.12745141983032
Tile-wise,35,27.091497898101807,27.219578742980957,27.15338308095932,27.15214776992798
Tile-wise and Sampled,35,0.5420587062835693,0.5479104518890381,0.5449358820915222,0.5448487997055054
ACE_optimized,35,1.2208669185638428,1.2341437339782715,1.2256853723526,1.225294589996338
ACE_optimized_addition,35,1.221942663192749,1.2335247993469238,1.2259040641784669,1.2256883382797241
ACE_numpy,35,16.81134033203125,16.99771809577942,16.845352549552917,16.835885286331177
ACE_numpy_addition,35,16.807041883468628,16.99647855758667,16.854727375507355,16.845109462738037
MatchedFilterOptimized,35,0.48052334785461426,0.4889230728149414,0.4817612147331238,0.48166024684906006
MatchedFilterOptimized_addition,35,0.4805293083190918,0.4831399917602539,0.4816985011100769,0.48152589797973633
MatchedFilterNumpy,35,0.4805760383605957,0.48376893997192383,0.48176213264465334,0.48168015480041504
MatchedFilterNumpy_addition,35,0.48070359230041504,0.4845297336578369,0.4817143774032593,0.4814842939376831
CEM_optimized,35,0.24843454360961914,0.24988341331481934,0.24893901824951173,0.24889278411865234
CEM_numpy,35,0.2482459545135498,0.2516438961029053,0.2489328122138977,0.24880599975585938
mag1c_SAS,35,0.6270184516906738,0.6433978080749512,0.6295408368110657,0.6293177604675293
mag1c_tile,35,29.290833950042725,29.37410068511963,29.327477872371674,29.32930600643158
Morphological_Baseline,35,0.05953645706176758,0.07312822341918945,0.06028701066970825,0.05995583534240723
Original,50,84.3065927028656,85.31019115447998,84.7293726682663,84.69609022140503
Tile-wise,50,37.73982238769531,37.86329674720764,37.77759928464889,37.77363395690918
Tile-wise and Sampled,50,0.7088475227355957,0.7247726917266846,0.7135597896575928,0.7133300304412842
ACE_optimized,50,1.8789846897125244,1.9132201671600342,1.8905566096305848,1.8889235258102417
ACE_optimized_addition,50,1.8728911876678467,1.9107558727264404,1.8871897983551025,1.8850593566894531
ACE_numpy,50,29.041009426116943,29.36720371246338,29.11695964574814,29.10011649131775
ACE_numpy_addition,50,29.04145646095276,29.37631583213806,29.148250432014464,29.147114038467407
MatchedFilterOptimized,50,0.7834646701812744,0.7873332500457764,0.7853501868247986,0.7851312160491943
MatchedFilterOptimized_addition,50,0.783667802810669,0.7903070449829102,0.785522723197937,0.7853124141693115
MatchedFilterNumpy,50,0.7839169502258301,0.7901251316070557,0.7859130692481995,0.7860240936279297
MatchedFilterNumpy_addition,50,0.7839939594268799,0.7901248931884766,0.7859729218482971,0.7858936786651611
CEM_optimized,50,0.4730246067047119,0.47888922691345215,0.4746543741226196,0.4747382402420044
CEM_numpy,50,0.47350311279296875,0.47948384284973145,0.4751892948150635,0.47538626194000244
mag1c_SAS,50,0.8631186485290527,0.8761107921600342,0.8682276177406311,0.8680939674377441
mag1c_tile,50,43.355835914611816,43.44735670089722,43.38568107843399,43.38466203212738
Morphological_Baseline,50,0.05953407287597656,0.08025121688842773,0.06042984962463379,0.059960126876831055
Original,72,97.85059213638306,99.16516065597534,98.5469298195839,98.52178466320038
Tile-wise,72,51.91139578819275,52.16435432434082,52.02183831691742,52.0189414024353
Tile-wise and Sampled,72,0.9370572566986084,0.959726095199585,0.9415864157676697,0.9405913352966309
ACE_optimized,72,2.8170125484466553,2.861701488494873,2.8313629627227783,2.8298425674438477
ACE_optimized_addition,72,2.814790964126587,2.8489885330200195,2.8260965394973754,2.8252135515213013
ACE_numpy,72,53.14461350440979,53.40778350830078,53.24464606046676,53.239778995513916
ACE_numpy_addition,72,53.16516971588135,53.37300181388855,53.24076407194138,53.22782003879547
MatchedFilterOptimized,72,1.1083347797393799,1.1112630367279053,1.1094352865219117,1.1093517541885376
MatchedFilterOptimized_addition,72,1.1086838245391846,1.1255223751068115,1.1102747893333436,1.1098215579986572
MatchedFilterNumpy,72,1.1116602420806885,1.115860939025879,1.1126915717124939,1.1125285625457764
MatchedFilterNumpy_addition,72,1.1117522716522217,1.1153461933135986,1.1127881002426148,1.1126106977462769
CEM_optimized,72,0.6777193546295166,0.6813652515411377,0.6787488174438476,0.6785851716995239
CEM_numpy,72,0.680757999420166,0.6864879131317139,0.6822522115707398,0.6819113492965698
mag1c_SAS,72,1.1786596775054932,1.186448097229004,1.1810057950019837,1.1809558868408203
mag1c_tile,72,60.848695039749146,61.06974697113037,60.91486254453659,60.9051775932312
Morphological_Baseline,72,0.0592195987701416,0.06387805938720703,0.05981876134872437,0.05962193012237549
Original,90,121.60403871536255,123.15943050384521,122.29157753944396,122.23698353767395
Tile-wise,90,72.60288095474243,72.87488842010498,72.69204696655274,72.68455457687378
Tile-wise and Sampled,90,1.2071278095245361,1.239750623703003,1.2123230147361754,1.2118403911590576
ACE_optimized,90,3.6922097206115723,3.725295066833496,3.705470554828644,3.7049468755722046
ACE_optimized_addition,90,3.6930043697357178,3.72590708732605,3.705209422111511,3.7044957876205444
ACE_numpy,90,77.67633938789368,77.96163511276245,77.825838098526,77.83356845378876
ACE_numpy_addition,90,77.67360091209412,77.91837811470032,77.80276246786117,77.80692195892334
MatchedFilterOptimized,90,1.4040076732635498,1.4097487926483154,1.406571729183197,1.4064356088638306
MatchedFilterOptimized_addition,90,1.4044146537780762,1.4111640453338623,1.4068134570121764,1.4068232774734497
MatchedFilterNumpy,90,1.4105751514434814,1.4168803691864014,1.412865037918091,1.4127285480499268
MatchedFilterNumpy_addition,90,1.4105639457702637,1.4167225360870361,1.412993311882019,1.4127910137176514
CEM_optimized,90,0.8762612342834473,0.8832798004150391,0.8787320375442504,0.8785494565963745
CEM_numpy,90,0.8824944496154785,0.8887546062469482,0.8849951672554016,0.8849821090698242
mag1c_SAS,90,1.4822747707366943,1.494142770767212,1.487323067188263,1.4870401620864868
mag1c_tile,90,76.4052300453186,76.58655047416687,76.47929357528686,76.48207747936249
Morphological_Baseline,90,0.05957365036010742,0.0748133659362793,0.060596437454223634,0.05994677543640137
Original,100,129.95820140838623,131.2195222377777,130.55309205055238,130.53545451164246
Tile-wise,100,73.17495250701904,73.64902901649475,73.36266036987304,73.36756324768066
Tile-wise and Sampled,100,1.2434217929840088,1.2581286430358887,1.2491488981246948,1.2489877939224243
ACE_optimized,100,4.268239736557007,4.303452968597412,4.278626625537872,4.277826189994812
ACE_optimized_addition,100,4.26809024810791,4.298672199249268,4.279200513362884,4.278733968734741
ACE_numpy,100,93.12648844718933,93.59203052520752,93.32555257081985,93.34278631210327
ACE_numpy_addition,100,93.1335699558258,93.50702166557312,93.32051610708237,93.3318383693695
MatchedFilterOptimized,100,1.6746742725372314,1.6808385848999023,1.67672123670578,1.6763697862625122
MatchedFilterOptimized_addition,100,1.675220012664795,1.681138277053833,1.6770434713363647,1.6767668724060059
MatchedFilterNumpy,100,1.6837103366851807,1.6895208358764648,1.6854790472984313,1.6851435899734497
MatchedFilterNumpy_addition,100,1.6855134963989258,1.7485711574554443,1.6976105070114136,1.690311312675476
CEM_optimized,100,1.0835912227630615,1.0893192291259766,1.08502450466156,1.0846091508865356
CEM_numpy,100,1.0916748046875,1.0968730449676514,1.0932913494110108,1.0929040908813477
mag1c_SAS,100,1.6913964748382568,1.701268196105957,1.695740430355072,1.6959189176559448
mag1c_tile,100,88.36766576766968,88.47979354858398,88.40470121860504,88.4017436504364
Morphological_Baseline,100,0.05900096893310547,0.07249879837036133,0.059856014251708986,0.05953347682952881
Original,110,144.17460298538208,145.37648963928223,144.7236081290245,144.73495161533356
Tile-wise,110,84.627849817276,84.98204398155212,84.78839861631394,84.79189586639404
Tile-wise and Sampled,110,1.3728387355804443,1.3820521831512451,1.376404707431793,1.37624990940094
ACE_optimized,110,4.691741466522217,4.722668647766113,4.704407920837403,4.703730583190918
ACE_optimized_addition,110,4.6897337436676025,4.720465421676636,4.704180641174316,4.7041590213775635
ACE_numpy,110,109.22545051574707,109.53212761878967,109.42917969465256,109.44421362876892
ACE_numpy_addition,110,109.17044734954834,109.51218676567078,109.40831605672837,109.43584680557251
MatchedFilterOptimized,110,1.7461977005004883,1.754518747329712,1.7496186518669128,1.7502213716506958
MatchedFilterOptimized_addition,110,1.7460482120513916,1.7557976245880127,1.749515278339386,1.7500656843185425
MatchedFilterNumpy,110,1.7568774223327637,1.7632591724395752,1.7584457802772522,1.757960557937622
MatchedFilterNumpy_addition,110,1.75661301612854,1.7618329524993896,1.7583866691589356,1.75810706615448
CEM_optimized,110,1.103564739227295,1.10906982421875,1.1049700379371643,1.1045722961425781
CEM_numpy,110,1.1141409873962402,1.1283965110778809,1.1159303951263428,1.1152925491333008
mag1c_SAS,110,1.8398008346557617,1.8540284633636475,1.8448650336265564,1.8444575071334839
mag1c_tile,110,94.1053102016449,94.29608178138733,94.16792900562287,94.17274701595306
Morphological_Baseline,110,0.059246063232421875,0.06469607353210449,0.06003469944000244,0.05980396270751953
Original,125,175.6466896533966,177.84328365325928,176.53230138778687,176.37295055389404
Tile-wise,125,99.4130117893219,99.8212103843689,99.63437505722045,99.63180935382843
Tile-wise and Sampled,125,1.6978199481964111,1.7130191326141357,1.7028476405143738,1.7023813724517822
ACE_optimized,125,5.633519887924194,5.670395374298096,5.648255157470703,5.647718906402588
ACE_optimized_addition,125,5.630953073501587,5.6643548011779785,5.6490562152862545,5.6490479707717896
ACE_numpy,125,136.19525170326233,136.48666429519653,136.29876975297927,136.29516065120697
ACE_numpy_addition,125,136.17356634140015,136.38525462150574,136.2815978360176,136.27248811721802
MatchedFilterOptimized,125,2.091757297515869,2.0997731685638428,2.0943570017814634,2.094059705734253
MatchedFilterOptimized_addition,125,2.0912954807281494,2.098571538925171,2.0940146112442015,2.093906283378601
MatchedFilterNumpy,125,2.1084163188934326,2.114954710006714,2.1103595685958862,2.109833836555481
MatchedFilterNumpy_addition,125,2.10823917388916,2.114680528640747,2.110045928955078,2.1097179651260376
CEM_optimized,125,1.3562607765197754,1.3624522686004639,1.3581044602394103,1.357610821723938
CEM_numpy,125,1.3709661960601807,1.3768606185913086,1.3730149626731873,1.3728541135787964
mag1c_SAS,125,2.1946065425872803,2.212815284729004,2.2031147718429565,2.2023671865463257
mag1c_tile,125,110.96695470809937,111.11165976524353,111.01352177858352,111.01074385643005
Morphological_Baseline,125,0.05938863754272461,0.06917929649353027,0.06012451171875,0.059838294982910156
