METHOD,CHANNEL_N,SELECT_STRATEGY,AUPRC_all,AUPRC_strong,AUPRC_weak,Recall_all_seg,Precision_all_seg,F1-score_all_seg,Recall_strong_seg,Precision_strong_seg,F1-score_strong_seg
ACE,10.000,SELECT-EVENLY-SPACED,0.004,0.040,0.003,0.578,0.004,0.007,0.566,0.036,0.068
CEM,10.000,SELECT-EVENLY-SPACED,0.031,0.138,0.033,0.503,0.017,0.033,0.494,0.136,0.213
Mag1c (tile-wise),10.000,SELECT-EVENLY-SPACED,0.030,0.165,0.028,0.277,0.067,0.107,0.254,0.350,0.295
"Mag1c-SAS (tile-wise)",10.000,SELECT-EVENLY-SPACED,0.032,0.168,0.029,0.373,0.058,0.100,0.351,0.332,0.341
MF,10.000,SELECT-EVENLY-SPACED,0.031,0.139,0.035,0.494,0.019,0.037,0.481,0.144,0.221
ACE,10.000,SELECT-HIGHEST-TRANSMITTANCE,0.003,0.030,0.002,0.430,0.003,0.006,0.426,0.029,0.055
CEM,10.000,SELECT-HIGHEST-TRANSMITTANCE,0.013,0.079,0.005,0.363,0.009,0.018,0.360,0.080,0.131
Mag1c (tile-wise),10.000,SELECT-HIGHEST-TRANSMITTANCE,0.008,0.073,0.005,0.081,0.055,0.066,0.077,0.376,0.127
"Mag1c-SAS (tile-wise)",10.000,SELECT-HIGHEST-TRANSMITTANCE,0.008,0.067,0.005,0.115,0.042,0.062,0.110,0.336,0.166
MF,10.000,SELECT-HIGHEST-TRANSMITTANCE,0.013,0.078,0.004,0.356,0.008,0.016,0.355,0.076,0.125
ACE,10.000,SELECT-HIGHEST-VARIANCE,0.005,0.046,0.003,0.526,0.004,0.007,0.522,0.036,0.067
CEM,10.000,SELECT-HIGHEST-VARIANCE,0.026,0.115,0.005,0.494,0.010,0.019,0.506,0.082,0.141
Mag1c (tile-wise),10.000,SELECT-HIGHEST-VARIANCE,0.028,0.130,0.014,0.131,0.070,0.091,0.129,0.503,0.205
"Mag1c-SAS (tile-wise)",10.000,SELECT-HIGHEST-VARIANCE,0.034,0.144,0.017,0.192,0.054,0.085,0.188,0.397,0.255
MF,10.000,SELECT-HIGHEST-VARIANCE,0.027,0.114,0.006,0.468,0.011,0.022,0.470,0.092,0.153
ACE,25.000,SELECT-EVENLY-SPACED,0.018,0.075,0.034,0.380,0.010,0.019,0.341,0.086,0.137
CEM,25.000,SELECT-EVENLY-SPACED,0.042,0.159,0.051,0.436,0.035,0.064,0.402,0.232,0.294
Mag1c (tile-wise),25.000,SELECT-EVENLY-SPACED,0.044,0.213,0.042,0.327,0.093,0.145,0.294,0.461,0.359
"Mag1c-SAS (tile-wise)",25.000,SELECT-EVENLY-SPACED,0.044,0.211,0.041,0.424,0.081,0.136,0.392,0.409,0.400
MF,25.000,SELECT-EVENLY-SPACED,0.042,0.160,0.052,0.432,0.037,0.069,0.396,0.241,0.300
ACE,25.000,SELECT-HIGHEST-TRANSMITTANCE,0.033,0.109,0.039,0.374,0.011,0.021,0.353,0.098,0.154
CEM,25.000,SELECT-HIGHEST-TRANSMITTANCE,0.046,0.179,0.040,0.413,0.043,0.077,0.392,0.268,0.318
Mag1c (tile-wise),25.000,SELECT-HIGHEST-TRANSMITTANCE,0.038,0.195,0.028,0.241,0.130,0.169,0.225,0.565,0.322
"Mag1c-SAS (tile-wise)",25.000,SELECT-HIGHEST-TRANSMITTANCE,0.036,0.181,0.028,0.289,0.117,0.167,0.271,0.520,0.356
MF,25.000,SELECT-HIGHEST-TRANSMITTANCE,0.048,0.178,0.040,0.409,0.042,0.076,0.391,0.264,0.315
ACE,25.000,SELECT-HIGHEST-VARIANCE,0.040,0.125,0.069,0.427,0.012,0.023,0.391,0.110,0.172
CEM,25.000,SELECT-HIGHEST-VARIANCE,0.056,0.180,0.061,0.436,0.064,0.112,0.409,0.311,0.353
Mag1c (tile-wise),25.000,SELECT-HIGHEST-VARIANCE,0.094,0.288,0.061,0.319,0.166,0.218,0.299,0.627,0.405
"Mag1c-SAS (tile-wise)",25.000,SELECT-HIGHEST-VARIANCE,0.087,0.276,0.063,0.370,0.151,0.214,0.347,0.610,0.442
MF,25.000,SELECT-HIGHEST-VARIANCE,0.056,0.178,0.061,0.434,0.064,0.112,0.408,0.316,0.356
ACE,35.000,SELECT-EVENLY-SPACED,0.029,0.089,0.061,0.329,0.017,0.033,0.291,0.136,0.186
CEM,35.000,SELECT-EVENLY-SPACED,0.051,0.181,0.064,0.429,0.041,0.075,0.393,0.248,0.304
Mag1c (tile-wise),35.000,SELECT-EVENLY-SPACED,0.071,0.285,0.058,0.380,0.134,0.198,0.353,0.564,0.435
"Mag1c-SAS (tile-wise)",35.000,SELECT-EVENLY-SPACED,0.064,0.265,0.056,0.465,0.112,0.181,0.436,0.498,0.465
MF,35.000,SELECT-EVENLY-SPACED,0.051,0.180,0.065,0.427,0.043,0.079,0.389,0.251,0.305
