METHOD,CHANNEL_N,SELECT_STRATEGY,AUPRC_all,AUPRC_strong,AUPRC_weak,Recall_all_seg,Precision_all_seg,F1-score_all_seg,Recall_strong_seg,Precision_strong_seg,F1-score_strong_seg
ACE,10.0,SELECT-EVENLY-SPACED,0.0145073013853039,0.0939557204001156,0.0097221817751794,0.6771843767889123,0.00421911299875,0.0083859782037538,0.66998718664783,0.0427908522707958,0.0804439002376346
CEM,10.0,SELECT-EVENLY-SPACED,0.031,0.138,0.033,0.503,0.017,0.033,0.494,0.136,0.213
Mag1c (tile-wise),10.0,SELECT-EVENLY-SPACED,0.03,0.165,0.028,0.277,0.067,0.107,0.254,0.35,0.295
Mag1c-SAS,10.0,SELECT-EVENLY-SPACED,0.032,0.168,0.029,0.373,0.058,0.1,0.351,0.332,0.341
MF,10.0,SELECT-EVENLY-SPACED,0.0282642488948137,0.1305934183580785,0.0292862930894436,0.6056909074676092,0.0164144814185832,0.0319627584767658,0.5922397082498275,0.1243755692324676,0.2055779527738654
ACE,10.0,SELECT-HIGHEST-TRANSMITTANCE,0.0037977968054716,0.0373812556615535,0.0017104104586353,0.4816526529733363,0.003160041196206,0.0062788876774972,0.4836744751453822,0.0309872448303022,0.0582430703422278
CEM,10.0,SELECT-HIGHEST-TRANSMITTANCE,0.013,0.079,0.005,0.363,0.009,0.018,0.36,0.08,0.131
Mag1c (tile-wise),10.0,SELECT-HIGHEST-TRANSMITTANCE,0.008,0.073,0.005,0.081,0.055,0.066,0.077,0.376,0.127
Mag1c-SAS,10.0,SELECT-HIGHEST-TRANSMITTANCE,0.008,0.067,0.005,0.115,0.042,0.062,0.11,0.336,0.166
MF,10.0,SELECT-HIGHEST-TRANSMITTANCE,0.0083471130586716,0.0608989175554805,0.00485534614546,0.3833117132068337,0.0080752045327183,0.015817189301108,0.3787364063475375,0.0743158999511334,0.1242511581584149
ACE,10.0,SELECT-HIGHEST-VARIANCE,0.0085573489356112,0.0648066230619581,0.0037000758138495,0.5377424386452321,0.0034704347874422,0.0068963624383949,0.5344284916384663,0.0345643545000977,0.0649293781646106
CEM,10.0,SELECT-HIGHEST-VARIANCE,0.026,0.115,0.005,0.494,0.01,0.019,0.506,0.082,0.141
Mag1c (tile-wise),10.0,SELECT-HIGHEST-VARIANCE,0.028,0.13,0.014,0.131,0.07,0.091,0.129,0.503,0.205
Mag1c-SAS,10.0,SELECT-HIGHEST-VARIANCE,0.034,0.144,0.017,0.192,0.054,0.085,0.188,0.397,0.255
MF,10.0,SELECT-HIGHEST-VARIANCE,0.0205817117359889,0.1018948310272583,0.0115716848444404,0.4249326449905204,0.0125863404349117,0.0244485250236973,0.4196602818937477,0.1058653087475716,0.1690782184652814
ACE,25.0,SELECT-EVENLY-SPACED,0.0500176679468087,0.1390778820416193,0.0672384036679977,0.4583186719115167,0.0113484584559786,0.0221484965478313,0.4190426126096527,0.1024560073132369,0.1646540617439822
CEM,25.0,SELECT-EVENLY-SPACED,0.042,0.159,0.051,0.436,0.035,0.064,0.402,0.232,0.294
Mag1c (tile-wise),25.0,SELECT-EVENLY-SPACED,0.044,0.213,0.042,0.327,0.093,0.145,0.294,0.461,0.359
Mag1c-SAS,25.0,SELECT-EVENLY-SPACED,0.044,0.211,0.041,0.424,0.081,0.136,0.392,0.409,0.4
MF,25.0,SELECT-EVENLY-SPACED,0.0416877946617113,0.1634584601518238,0.0493550975391351,0.4978756256269399,0.0337927314971427,0.0632897448582089,0.4571278378289581,0.219287240816275,0.2963928671093302
ACE,25.0,SELECT-HIGHEST-TRANSMITTANCE,0.0484370049603436,0.1313729525369518,0.0479427941134655,0.3996764858803943,0.0110648576996372,0.0215335685646456,0.37966291027368,0.10359542221513,0.1627756288719042
CEM,25.0,SELECT-HIGHEST-TRANSMITTANCE,0.046,0.179,0.04,0.413,0.043,0.077,0.392,0.268,0.318
Mag1c (tile-wise),25.0,SELECT-HIGHEST-TRANSMITTANCE,0.038,0.195,0.028,0.241,0.13,0.169,0.225,0.565,0.322
Mag1c-SAS,25.0,SELECT-HIGHEST-TRANSMITTANCE,0.036,0.181,0.028,0.289,0.117,0.167,0.271,0.52,0.356
MF,25.0,SELECT-HIGHEST-TRANSMITTANCE,0.0368314629210306,0.152384194874236,0.0348441838661537,0.41643514749828,0.0418364719612854,0.0760342846129173,0.3913723428721621,0.2579213344476826,0.3109325732422895
ACE,25.0,SELECT-HIGHEST-VARIANCE,0.0625418370646626,0.156387718059124,0.0794323264923718,0.4530983304360613,0.0120990355579034,0.0235687181910816,0.4194434405493314,0.1167020735903351,0.1825993801123921
CEM,25.0,SELECT-HIGHEST-VARIANCE,0.056,0.18,0.061,0.436,0.064,0.112,0.409,0.311,0.353
Mag1c (tile-wise),25.0,SELECT-HIGHEST-VARIANCE,0.094,0.288,0.061,0.319,0.166,0.218,0.299,0.627,0.405
Mag1c-SAS,25.0,SELECT-HIGHEST-VARIANCE,0.087,0.276,0.063,0.37,0.151,0.214,0.347,0.61,0.442
MF,25.0,SELECT-HIGHEST-VARIANCE,0.0525197634832433,0.1762157535214087,0.048446855032592,0.4489441150365791,0.065114922128394,0.1137338670352997,0.4195748595459473,0.3089805813497728,0.3558836479564822
ACE,35.0,SELECT-EVENLY-SPACED,0.0801428780861957,0.170980576903828,0.1126399547752518,0.4146232583543845,0.0216684616676712,0.0411845917209831,0.375076387291783,0.185806917833636,0.2485072628762862
