timestamp,power_watts,phase
1774366442.0951078,7.68,idle_before
1774366442.2627933,7.72,idle_before
1774366442.4279892,7.72,idle_before
1774366442.59275,7.74,idle_before
1774366442.7574077,7.68,idle_before
1774366442.9221337,7.68,idle_before
1774366443.0868714,7.69,idle_before
1774366443.2517138,7.69,idle_before
1774366443.4166949,7.69,idle_before
1774366443.581602,7.71,idle_before
1774366443.7465336,7.69,idle_before
1774366443.9114463,7.72,idle_before
1774366444.0763044,7.72,idle_before
1774366444.2412856,7.66,idle_before
1774366444.4062216,7.69,idle_before
1774366444.5710757,7.68,idle_before
1774366444.735927,7.71,idle_before
1774366444.9008105,7.69,idle_before
1774366445.0656848,7.68,idle_before
1774366445.2314508,7.69,running
1774366445.3962452,7.71,running
1774366445.5610104,7.66,running
1774366445.7256896,7.91,running
1774366445.8914628,7.87,running
1774366446.058291,7.88,running
1774366446.2465384,7.87,running
1774366446.4120429,7.85,running
1774366446.577877,7.90,running
1774366446.7443113,7.91,running
1774366446.9106567,7.93,running
1774366447.0773458,7.87,running
1774366447.2436872,8.10,running
1774366447.4094572,7.90,running
1774366447.5757904,7.90,running
1774366447.742278,7.90,running
1774366447.9091592,7.88,running
1774366448.0755792,7.94,running
1774366448.2420514,8.07,running
1774366448.4083257,8.08,running
1774366448.5748165,7.84,running
1774366448.7461433,7.85,running
1774366448.9137185,8.03,running
1774366449.081802,8.00,running
1774366449.2523336,8.08,running
1774366449.4210105,8.05,running
1774366449.589556,8.10,running
1774366449.7585924,8.10,running
1774366449.9279182,8.05,running
1774366450.0972319,8.08,running
1774366450.2660105,7.94,running
1774366450.4349396,8.20,running
1774366450.60342,8.07,running
1774366450.7737284,8.28,running
1774366450.94259,8.23,running
1774366451.1129787,8.28,running
1774366451.282977,8.19,running
1774366451.4516866,8.10,running
1774366451.6199553,8.20,running
1774366451.7881613,8.13,running
1774366451.956336,8.14,running
1774366452.1251132,8.26,running
1774366452.2992716,8.22,running
1774366452.473393,8.23,running
1774366452.647105,8.22,running
1774366452.8216746,8.02,running
1774366452.990372,8.08,running
1774366453.1585753,8.08,running
1774366453.327146,8.10,running
1774366453.4957922,8.02,running
1774366453.664222,8.23,running
1774366453.8350422,8.19,running
1774366454.0071404,8.10,running
1774366454.177527,8.10,running
1774366454.3468504,8.16,running
1774366454.51777,8.25,running
1774366454.6874905,8.11,running
1774366454.8573089,8.11,running
1774366455.027932,8.07,running
1774366455.197242,8.02,running
1774366455.3685942,8.20,running
1774366455.5385215,8.13,running
1774366455.7082715,8.26,running
1774366455.88056,8.43,running
1774366456.0482543,8.21,running
1774366456.2382011,7.99,running
1774366456.4073668,8.66,running
1774366456.608328,8.40,running
1774366456.8021495,8.42,running
1774366456.9945738,7.93,running
1774366457.1624377,7.90,running
1774366457.3298697,7.87,running
1774366457.4964392,7.85,running
1774366457.6626425,8.08,running
1774366457.829028,7.87,running
1774366457.9956436,7.87,running
1774366458.1619723,7.87,running
1774366458.3291214,7.90,running
1774366458.4953,7.88,running
1774366458.661868,7.88,running
1774366458.8281307,8.07,running
1774366458.9946785,7.93,running
1774366459.1616273,8.69,running
1774366459.3376439,8.62,running
1774366459.5365386,8.38,running
1774366459.726801,8.41,running
1774366459.9186134,8.69,running
1774366460.1022666,8.26,running
1774366460.298542,8.37,running
1774366460.4905229,7.97,running
1774366460.6820068,7.97,running
1774366460.8506815,7.88,running
1774366461.0186522,7.85,running
1774366461.1849828,7.88,running
1774366461.351366,8.05,running
1774366461.5175571,8.17,running
1774366461.7072535,7.89,running
1774366461.8942256,8.39,running
1774366462.0867195,8.39,running
1774366462.2745714,8.13,running
1774366462.4494755,8.00,running
1774366462.6186485,7.97,running
1774366462.7862456,7.84,running
1774366462.953209,7.88,running
1774366463.1201866,7.97,running
1774366463.2872674,8.69,running
1774366463.4667346,8.61,running
1774366463.6505501,7.99,running
1774366463.83887,8.39,running
1774366464.0299911,7.93,running
1774366464.2222583,7.94,running
1774366464.3907363,8.53,running
1774366464.5799232,8.04,running
1774366464.7784622,8.33,running
1774366464.9704351,8.00,running
1774366465.1411161,8.65,running
1774366465.3369746,8.31,running
1774366465.5172994,8.38,running
1774366465.7067873,8.14,running
1774366465.894045,7.93,running
1774366466.062998,7.91,running
1774366466.2320204,8.60,running
1774366466.4510841,8.38,running
1774366466.6188414,8.38,running
1774366466.81093,8.00,running
1774366466.9803703,8.71,running
1774366467.1573498,8.00,running
1774366467.3287847,8.50,running
1774366467.5199857,8.82,running
1774366467.7160604,8.67,running
1774366467.9038167,8.50,running
1774366468.094828,8.50,running
1774366468.2857757,8.57,running
1774366468.4701958,8.70,running
1774366468.6634839,8.62,running
1774366468.855194,8.41,running
1774366469.051307,8.54,running
1774366469.2473862,8.44,running
1774366469.4358027,8.51,running
1774366469.6262813,8.48,running
1774366469.819541,8.58,running
1774366470.0154696,8.61,running
1774366470.2069335,8.53,running
1774366470.4034793,8.48,running
1774366470.5862029,8.50,running
