timestamp,power_watts,phase
1774368455.3787887,7.71,idle_before
1774368455.5468965,7.69,idle_before
1774368455.711959,7.75,idle_before
1774368455.8766766,7.71,idle_before
1774368456.0413885,7.68,idle_before
1774368456.2061598,7.68,idle_before
1774368456.3709905,7.69,idle_before
1774368456.535725,7.69,idle_before
1774368456.7007322,7.71,idle_before
1774368456.865859,7.74,idle_before
1774368457.0308027,7.71,idle_before
1774368457.1958132,7.66,idle_before
1774368457.3607798,7.69,idle_before
1774368457.5256488,7.69,idle_before
1774368457.690567,7.71,idle_before
1774368457.855575,7.69,idle_before
1774368458.0203195,7.72,idle_before
1774368458.1851828,7.74,idle_before
1774368458.350116,7.77,idle_before
1774368458.5158243,7.72,running
1774368458.680698,7.71,running
1774368458.8454545,7.75,running
1774368459.010186,7.91,running
1774368459.176023,7.93,running
1774368459.342921,8.23,running
1774368459.5133348,7.99,running
1774368459.6795456,7.93,running
1774368459.8458066,8.02,running
1774368460.012151,7.91,running
1774368460.1785252,7.94,running
1774368460.3448594,8.17,running
1774368460.5112796,7.99,running
1774368460.6775641,7.90,running
1774368460.8436732,7.87,running
1774368461.0098543,8.07,running
1774368461.176388,7.99,running
1774368461.3427548,8.05,running
1774368461.5091114,7.88,running
1774368461.6755857,8.03,running
1774368461.8418553,8.00,running
1774368462.0083823,7.94,running
1774368462.1761537,8.03,running
1774368462.3427017,7.93,running
1774368462.510213,8.14,running
1774368462.6770606,8.21,running
1774368462.8447804,8.08,running
1774368463.0121727,8.23,running
1774368463.1799023,8.17,running
1774368463.3471925,8.26,running
1774368463.514375,8.13,running
1774368463.6824913,8.13,running
1774368463.8494751,8.13,running
1774368464.0169363,8.08,running
1774368464.1843815,8.28,running
1774368464.3515198,8.14,running
1774368464.5192375,8.19,running
1774368464.6886733,8.16,running
1774368464.858496,8.13,running
1774368465.0276873,8.07,running
1774368465.196636,8.13,running
1774368465.3655462,8.14,running
1774368465.534689,8.19,running
1774368465.7021663,8.28,running
1774368465.8694756,8.20,running
1774368466.0368607,8.03,running
1774368466.2045748,8.19,running
1774368466.3720467,8.26,running
1774368466.5419621,8.28,running
1774368466.7120874,8.19,running
1774368466.8793774,8.29,running
1774368467.0494452,8.05,running
1774368467.2191129,8.13,running
1774368467.3878918,8.16,running
1774368467.5563498,8.10,running
1774368467.7248344,8.17,running
1774368467.8940265,8.17,running
1774368468.062651,8.07,running
1774368468.2327833,8.19,running
1774368468.4014957,8.16,running
1774368468.5699651,8.14,running
1774368468.7383518,8.13,running
1774368468.906852,8.34,running
1774368469.0757322,7.88,running
1774368469.2440908,7.82,running
1774368469.4113328,8.47,running
1774368469.5983293,8.51,running
1774368469.7906792,8.43,running
1774368469.9825277,8.45,running
1774368470.1745005,8.38,running
1774368470.3621035,8.44,running
1774368470.5544434,8.35,running
1774368470.7466748,8.47,running
1774368470.9292057,8.40,running
1774368471.1222224,8.53,running
1774368471.3147528,8.28,running
1774368471.506625,7.96,running
1774368471.6926215,8.13,running
1774368471.8610728,7.93,running
1774368472.0297363,7.93,running
1774368472.1971092,7.94,running
1774368472.3645525,7.97,running
1774368472.5320544,7.96,running
1774368472.6996107,7.97,running
1774368472.8679721,8.13,running
1774368473.036391,7.97,running
1774368473.2039258,7.94,running
1774368473.3714073,7.94,running
1774368473.538743,7.91,running
1774368473.706306,7.93,running
1774368473.8736932,7.97,running
1774368474.0417988,8.19,running
1774368474.2099576,8.00,running
1774368474.378073,8.00,running
1774368474.546129,7.94,running
1774368474.714858,8.71,running
1774368474.912522,8.43,running
1774368475.0822928,8.32,running
1774368475.2539306,8.29,running
1774368475.4239545,8.23,running
1774368475.5938222,8.13,running
