id,action_name,marker,timestamp
Global,prep_init,START,1774366448.489119
Global,prep_init,END,1774366448.881467
EMIT_L1B_RAD_001_20240305T074726_2406505_008,load_scene,START,1774366448.8814826
EMIT_L1B_RAD_001_20240305T074726_2406505_008,load_scene,END,1774366452.1211271
EMIT_L1B_RAD_001_20240305T074726_2406505_008,tile_image,START,1774366452.1214077
EMIT_L1B_RAD_001_20240305T074726_2406505_008,tile_image,END,1774366452.8224404
EMIT_L1B_RAD_001_20240305T074726_2406505_008,mag1c_prep,START,1774366452.82245
EMIT_L1B_RAD_001_20240305T074726_2406505_008,mag1c_prep,END,1774366455.879565
EMIT_L1B_RAD_001_20240305T074726_2406505_008,mag1c_compute,START,1774366455.8795755
EMIT_L1B_RAD_001_20240305T074726_2406505_008,mag1c_compute,END,1774366467.0952024
EMIT_L1B_RAD_001_20240305T074726_2406505_008,mag1c_post,START,1774366467.095215
EMIT_L1B_RAD_001_20240305T074726_2406505_008,mag1c_post,END,1774366467.130075
EMIT_L1B_RAD_001_20240305T074726_2406505_008,normalize,START,1774366467.1300893
EMIT_L1B_RAD_001_20240305T074726_2406505_008,normalize,END,1774366467.3467638
EMIT_L1B_RAD_001_20240305T074726_2406505_008,inference_tiles,START,1774366467.346786
EMIT_L1B_RAD_001_20240305T074726_2406505_008,inference_tiles,END,1774366471.1126037
EMIT_L1B_RAD_001_20240305T074726_2406505_008,post_tiles,START,1774366471.1126187
EMIT_L1B_RAD_001_20240305T074726_2406505_008,post_tiles,END,1774366471.260159
EMIT_L1B_RAD_001_20240305T074726_2406505_008,stitch_tiles,START,1774366471.2601724
EMIT_L1B_RAD_001_20240305T074726_2406505_008,stitch_tiles,END,1774366471.2758539
EMIT_L1B_RAD_001_20240305T074726_2406505_008,create_out_dir,START,1774366471.2758708
EMIT_L1B_RAD_001_20240305T074726_2406505_008,create_out_dir,END,1774366471.276595
EMIT_L1B_RAD_001_20240305T074726_2406505_008,save_inference,START,1774366471.2766004
EMIT_L1B_RAD_001_20240305T074726_2406505_008,save_inference,END,1774366471.3938808
EMIT_L1B_RAD_001_20230215T094705_2304606_020,load_scene,START,1774366471.393927
EMIT_L1B_RAD_001_20230215T094705_2304606_020,load_scene,END,1774366476.6386547
EMIT_L1B_RAD_001_20230215T094705_2304606_020,tile_image,START,1774366476.6389916
EMIT_L1B_RAD_001_20230215T094705_2304606_020,tile_image,END,1774366477.3310366
EMIT_L1B_RAD_001_20230215T094705_2304606_020,mag1c_prep,START,1774366477.3310483
EMIT_L1B_RAD_001_20230215T094705_2304606_020,mag1c_prep,END,1774366480.0076215
EMIT_L1B_RAD_001_20230215T094705_2304606_020,mag1c_compute,START,1774366480.0076303
EMIT_L1B_RAD_001_20230215T094705_2304606_020,mag1c_compute,END,1774366492.6408126
EMIT_L1B_RAD_001_20230215T094705_2304606_020,mag1c_post,START,1774366492.6408293
EMIT_L1B_RAD_001_20230215T094705_2304606_020,mag1c_post,END,1774366492.6705797
EMIT_L1B_RAD_001_20230215T094705_2304606_020,normalize,START,1774366492.6705933
EMIT_L1B_RAD_001_20230215T094705_2304606_020,normalize,END,1774366492.8268301
EMIT_L1B_RAD_001_20230215T094705_2304606_020,inference_tiles,START,1774366492.8268507
EMIT_L1B_RAD_001_20230215T094705_2304606_020,inference_tiles,END,1774366496.5269697
EMIT_L1B_RAD_001_20230215T094705_2304606_020,post_tiles,START,1774366496.5269816
