id,action_name,marker,timestamp
Global,prep_init,START,1774368461.953863
Global,prep_init,END,1774368462.3602576
EMIT_L1B_RAD_001_20240305T074726_2406505_008,load_scene,START,1774368462.3602753
EMIT_L1B_RAD_001_20240305T074726_2406505_008,load_scene,END,1774368467.7223103
EMIT_L1B_RAD_001_20240305T074726_2406505_008,mag1c_prep,START,1774368467.7225604
EMIT_L1B_RAD_001_20240305T074726_2406505_008,mag1c_prep,END,1774368469.0907428
EMIT_L1B_RAD_001_20240305T074726_2406505_008,mag1c_compute,START,1774368469.0907524
EMIT_L1B_RAD_001_20240305T074726_2406505_008,mag1c_compute,END,1774368477.0668805
EMIT_L1B_RAD_001_20240305T074726_2406505_008,mag1c_post,START,1774368477.0668998
EMIT_L1B_RAD_001_20240305T074726_2406505_008,mag1c_post,END,1774368477.0892775
EMIT_L1B_RAD_001_20240305T074726_2406505_008,normalize,START,1774368477.0892928
EMIT_L1B_RAD_001_20240305T074726_2406505_008,normalize,END,1774368477.184476
EMIT_L1B_RAD_001_20240305T074726_2406505_008,tile_image,START,1774368477.1844923
EMIT_L1B_RAD_001_20240305T074726_2406505_008,tile_image,END,1774368477.2391963
EMIT_L1B_RAD_001_20240305T074726_2406505_008,inference_tiles,START,1774368477.2392046
EMIT_L1B_RAD_001_20240305T074726_2406505_008,inference_tiles,END,1774368481.0959198
EMIT_L1B_RAD_001_20240305T074726_2406505_008,post_tiles,START,1774368481.0959325
EMIT_L1B_RAD_001_20240305T074726_2406505_008,post_tiles,END,1774368481.24144
EMIT_L1B_RAD_001_20240305T074726_2406505_008,stitch_tiles,START,1774368481.2414515
EMIT_L1B_RAD_001_20240305T074726_2406505_008,stitch_tiles,END,1774368481.2568145
EMIT_L1B_RAD_001_20240305T074726_2406505_008,create_out_dir,START,1774368481.2568307
EMIT_L1B_RAD_001_20240305T074726_2406505_008,create_out_dir,END,1774368481.257505
EMIT_L1B_RAD_001_20240305T074726_2406505_008,save_inference,START,1774368481.2575097
EMIT_L1B_RAD_001_20240305T074726_2406505_008,save_inference,END,1774368481.3671806
EMIT_L1B_RAD_001_20230215T094705_2304606_020,load_scene,START,1774368481.3672225
EMIT_L1B_RAD_001_20230215T094705_2304606_020,load_scene,END,1774368487.1227932
EMIT_L1B_RAD_001_20230215T094705_2304606_020,mag1c_prep,START,1774368487.1230614
EMIT_L1B_RAD_001_20230215T094705_2304606_020,mag1c_prep,END,1774368488.470704
EMIT_L1B_RAD_001_20230215T094705_2304606_020,mag1c_compute,START,1774368488.4707143
EMIT_L1B_RAD_001_20230215T094705_2304606_020,mag1c_compute,END,1774368496.127406
EMIT_L1B_RAD_001_20230215T094705_2304606_020,mag1c_post,START,1774368496.127423
EMIT_L1B_RAD_001_20230215T094705_2304606_020,mag1c_post,END,1774368496.1499236
EMIT_L1B_RAD_001_20230215T094705_2304606_020,normalize,START,1774368496.1499422
EMIT_L1B_RAD_001_20230215T094705_2304606_020,normalize,END,1774368496.2262738
EMIT_L1B_RAD_001_20230215T094705_2304606_020,tile_image,START,1774368496.2262866
