METHOD,THRESHOLD,WHOLE_IMAGE,MAG1C,SAMPLED,SPED_UP,PRECISION,WAVELENGTH_RANGE,CHANNEL_N,SELECT_STRATEGY,AUPRC_all,BEST_THRESHOLD_all,BEST_F1-SCORE_all,AUPRC_strong,BEST_THRESHOLD_strong,BEST_F1-SCORE_strong,AUPRC_weak,BEST_THRESHOLD_weak,BEST_F1-SCORE_weak,TN_all_seg,FP_all_seg,FN_all_seg,TP_all_seg,Recall_all_seg,Precision_all_seg,F1-score_all_seg,Iou_all_seg,TN_all_tile_clas,FP_all_tile_clas,FN_all_tile_clas,TP_all_tile_clas,FPR_all_tile_clas,TN_strong_seg,FP_strong_seg,FN_strong_seg,TP_strong_seg,Recall_strong_seg,Precision_strong_seg,F1-score_strong_seg,Iou_strong_seg,TN_weak_seg,FP_weak_seg,FN_weak_seg,TP_weak_seg,Recall_weak_seg,Precision_weak_seg,F1-score_weak_seg,Iou_weak_seg
CEM,0.004,True,-,-,True,float64,200-2600,125,SELECT-HIGHEST-VARIANCE,0.08398414679233256,0.011351402848958969,0.17248979441820772,0.20735568001647908,0.007576419040560722,0.2617953523139833,0.1478318610843148,0.013245118781924248,0.25482043861106723,79024423,413603,121335,69074,0.36276646587083594,0.14310605228755463,0.20524568925813347,0.1143586551260571,0,175,0,167,1.0,6167135,45270,106097,46088,0.3028419358018202,0.504476893101863,0.3784793650402598,0.23341014408346206,29287110,156187,15238,22986,0.6013499372122227,0.1282894186065981,0.2114656595997185,0.11823405054240758
MF,0.004,True,-,-,True,float64,200-2600,125,SELECT-HIGHEST-VARIANCE,0.08392447711396472,0.011313842609524727,0.17256343760252196,0.20736460752180336,0.007469587959349155,0.2620120512081086,0.14828433426722967,0.013223724439740181,0.2560277274978704,79030962,407064,121441,68968,0.36220976949618977,0.14488101640225867,0.20697406071955354,0.11543283127438395,0,175,0,167,1.0,6167500,44905,106251,45934,0.30183000952787725,0.5056638668413347,0.3780202778326421,0.2330610381044193,29288334,154963,15190,23034,0.6026056927584763,0.1294066753934055,0.2130597860522336,0.11923162531640327
ACE,0.03,True,-,-,True,float64,200-2600,125,SELECT-HIGHEST-VARIANCE,0.07672246086926486,0.09208373725414276,0.13339976843512785,0.1419814535434343,0.04738985374569893,0.18312031086234096,0.1910260924100633,0.10335123538970947,0.26377777377477835,79372229,65797,157094,33315,0.17496546906921417,0.3361348777141012,0.23013874641217735,0.1300320835577621,0,175,1,166,1.0,6208511,3894,132869,19316,0.12692446693169498,0.8322274881516588,0.2202571338977736,0.12375784058073155,29420456,22841,24225,13999,0.36623587275010466,0.3799945711183496,0.37298838324629646,0.22924752313108981
MAG1C_TILE,300.0,True,GENERATED,0.01,True,float64,200-2600,125,SELECT-HIGHEST-VARIANCE,0.17071380295708544,1036.4005126953125,0.2696883633691149,0.4044662136721723,678.5115966796875,0.43200740735821763,0.14979359609329618,1145.7493896484375,0.25879212041369726,79143146,294880,102258,88151,0.4629560577493711,0.23014064135801018,0.3074462890625,0.18164640039234353,0,175,0,167,1.0,6186992,25413,88329,63856,0.41959457239543974,0.7153211081114385,0.5289289057128893,0.35955359857656055,29333147,110150,13929,24295,0.6355954374215153,0.18070586485179813,0.28140546363273083,0.16374162589132868
MAG1C_TILE_SAMPLED-0.01,300.0,True,GENERATED,0.01,True,float64,200-2600,125,SELECT-HIGHEST-VARIANCE,0.14021855876387143,1142.360595703125,0.2494891697994272,0.3720794979848563,746.2877807617188,0.4115597487913153,0.1291000448947007,1206.1282958984375,0.24595284071047224,78967304,470722,86471,103938,0.5458670546035114,0.18086868757178157,0.27170882626272924,0.15721241327361749,0,175,0,167,1.0,6165057,47348,75249,76936,0.5055425961822781,0.6190338257539184,0.556561495140504,0.3855803300707151,29263398,179899,11222,27002,0.7064148179154458,0.13050686076916013,0.22031208567057622,0.12379253907199149
CEM,0.004,True,-,-,True,float64,2122-2488,72,SELECT-ALL,0.0863267284843276,0.012876056134700775,0.1709146329954602,0.22785201424729556,0.008381552994251251,0.2796385163584214,0.11949680872050784,0.014614535495638847,0.2191341848239906,78848594,589432,114403,76006,0.39917230803165815,0.11421950655057271,0.17761585890936116,0.09746345729449978,0,175,0,167,1.0,6145479,66926,98683,53502,0.35155895784735686,0.44426545321685984,0.39251246272188045,0.244177608609335,29222087,221210,15720,22504,0.5887400586019255,0.09233774013803064,0.15963793458136186,0.08674267829197407
MF,0.004,True,-,-,True,float64,2122-2488,72,SELECT-ALL,0.08616905245999953,0.01281452551484108,0.1699566522689336,0.22732125614782356,0.008444233797490597,0.2791789695465052,0.12084762388685788,0.014585376717150211,0.21966293823691008,78852762,585264,114576,75833,0.39826373753341493,0.11470782653680171,0.17811501034637456,0.09776413514457767,0,175,0,167,1.0,6145223,67182,98853,53332,0.35044189637612116,0.44253779643858804,0.3911418817084037,0.24311769773940475,29223261,220036,15723,22501,0.5886615738802846,0.0927734737380276,0.16028579467946047,0.08712537752652366
ACE,0.03,True,-,-,True,float64,2122-2488,72,SELECT-ALL,0.07048191500810855,0.15286263823509216,0.12520399110611596,0.1440935531876404,0.08203165978193283,0.18439840380566716,0.1549090132530617,0.17531444132328033,0.2257068542471733,79050694,387332,142086,48323,0.2537852727549643,0.11092033834111854,0.15437079915152443,0.08364128562798902,0,175,0,167,1.0,6185507,26898,121107,31078,0.20421197884154155,0.5360493997516214,0.2957542074885445,0.17353964362893184,29305251,138046,20979,17245,0.4511563415655086,0.11104957788925308,0.1782290778492623,0.09783287002893289
MAG1C_TILE,300.0,True,GENERATED,0.01,True,float64,2122-2488,72,SELECT-ALL,0.12488609905962564,1103.553955078125,0.23295695680206074,0.3830484874353628,701.86376953125,0.4181745902715474,0.1095679102717773,1203.91796875,0.22290407850032729,79156024,282002,107181,83228,0.43710118744387083,0.22787832324836405,0.2995758037142821,0.17617710002518994,0,175,0,167,1.0,6188772,23633,90774,61411,0.40352860005913854,0.7221085555712338,0.5177360272142107,0.349287331217509,29344373,98924,16407,21817,0.57076705734617,0.18069255679512344,0.2744880948636492,0.15907632630443025
MAG1C_TILE_SAMPLED-0.01,300.0,True,GENERATED,0.01,True,float64,2122-2488,72,SELECT-ALL,0.1118851206073205,1163.9891357421875,0.2227531665938976,0.3592673892716081,722.2697143554688,0.40616485955539317,0.10009481958691457,1291.9410400390625,0.21486361529972983,79021414,416612,89882,100527,0.5279529854156053,0.19439067639454768,0.28415598659030905,0.16560712067622044,0,175,0,167,1.0,6172408,39997,76807,75378,0.4953050563458948,0.6533304442036837,0.5634474510390193,0.39222195627061845,29290574,152723,13075,25149,0.6579374215152783,0.14138818925969238,0.23275766326077302,0.13170670395450046
