METHOD,THRESHOLD,WHOLE_IMAGE,MAG1C,SAMPLED,SPED_UP,PRECISION,WAVELENGTH_RANGE,CHANNEL_N,SELECT_STRATEGY,AUPRC_all,BEST_THRESHOLD_all,BEST_F1-SCORE_all,AUPRC_strong,BEST_THRESHOLD_strong,BEST_F1-SCORE_strong,AUPRC_weak,BEST_THRESHOLD_weak,BEST_F1-SCORE_weak,TN_all_seg,FP_all_seg,FN_all_seg,TP_all_seg,Recall_all_seg,Precision_all_seg,F1-score_all_seg,Iou_all_seg,TN_all_tile_clas,FP_all_tile_clas,FN_all_tile_clas,TP_all_tile_clas,FPR_all_tile_clas,TN_strong_seg,FP_strong_seg,FN_strong_seg,TP_strong_seg,Recall_strong_seg,Precision_strong_seg,F1-score_strong_seg,Iou_strong_seg,TN_weak_seg,FP_weak_seg,FN_weak_seg,TP_weak_seg,Recall_weak_seg,Precision_weak_seg,F1-score_weak_seg,Iou_weak_seg
CEM,0.004,True,-,-,True,float64,200-2600,125,SELECT-HIGHEST-VARIANCE,0.0839841467923325,0.0113514028489589,0.1724897944182077,0.207355680016479,0.0075764190405607,0.2617953523139833,0.1478318610843148,0.0132451187819242,0.2548204386110672,79024423,413603,121335,69074,0.3627664658708359,0.1431060522875546,0.2052456892581334,0.1143586551260571,0,175,0,167,1.0,6167135,45270,106097,46088,0.3028419358018202,0.504476893101863,0.3784793650402598,0.233410144083462,29287110,156187,15238,22986,0.6013499372122227,0.1282894186065981,0.2114656595997185,0.1182340505424075
MF,0.004,True,-,-,True,float64,200-2600,125,SELECT-HIGHEST-VARIANCE,0.0839244771139647,0.0113138426095247,0.1725634376025219,0.2073646075218033,0.0074695879593491,0.2620120512081086,0.1482843342672296,0.0132237244397401,0.2560277274978704,79030962,407064,121441,68968,0.3622097694961897,0.1448810164022586,0.2069740607195535,0.1154328312743839,0,175,0,167,1.0,6167500,44905,106251,45934,0.3018300095278772,0.5056638668413347,0.3780202778326421,0.2330610381044193,29288334,154963,15190,23034,0.6026056927584763,0.1294066753934055,0.2130597860522336,0.1192316253164032
ACE,0.03,True,-,-,True,float64,200-2600,125,SELECT-HIGHEST-VARIANCE,0.0767224608692648,0.0920837372541427,0.1333997684351278,0.1419814535434343,0.0473898537456989,0.1831203108623409,0.1910260924100633,0.1033512353897094,0.2637777737747783,79372229,65797,157094,33315,0.1749654690692141,0.3361348777141012,0.2301387464121773,0.1300320835577621,0,175,1,166,1.0,6208511,3894,132869,19316,0.1269244669316949,0.8322274881516588,0.2202571338977736,0.1237578405807315,29420456,22841,24225,13999,0.3662358727501046,0.3799945711183496,0.3729883832462964,0.2292475231310898
MAG1C_TILE,300.0,True,GENERATED,0.01,True,float64,200-2600,125,SELECT-HIGHEST-VARIANCE,0.1707138029570854,1036.4005126953125,0.2696883633691149,0.4044662136721723,678.5115966796875,0.4320074073582176,0.1497935960932961,1145.7493896484375,0.2587921204136972,79143146,294880,102258,88151,0.4629560577493711,0.2301406413580101,0.3074462890625,0.1816464003923435,0,175,0,167,1.0,6186992,25413,88329,63856,0.4195945723954397,0.7153211081114385,0.5289289057128893,0.3595535985765605,29333147,110150,13929,24295,0.6355954374215153,0.1807058648517981,0.2814054636327308,0.1637416258913286
MAG1C_TILE_SAMPLED-0.01,300.0,True,GENERATED,0.01,True,float64,200-2600,125,SELECT-HIGHEST-VARIANCE,0.1402185587638714,1142.360595703125,0.2494891697994272,0.3720794979848563,746.2877807617188,0.4115597487913153,0.1291000448947007,1206.1282958984375,0.2459528407104722,78967304,470722,86471,103938,0.5458670546035114,0.1808686875717815,0.2717088262627292,0.1572124132736174,0,175,0,167,1.0,6165057,47348,75249,76936,0.5055425961822781,0.6190338257539184,0.556561495140504,0.3855803300707151,29263398,179899,11222,27002,0.7064148179154458,0.1305068607691601,0.2203120856705762,0.1237925390719914
CEM,0.004,True,-,-,True,float64,2122-2488,72,SELECT-ALL,0.0863267284843276,0.0128760561347007,0.1709146329954602,0.2278520142472955,0.0083815529942512,0.2796385163584214,0.1194968087205078,0.0146145354956388,0.2191341848239906,78848594,589432,114403,76006,0.3991723080316581,0.1142195065505727,0.1776158589093611,0.0974634572944997,0,175,0,167,1.0,6145479,66926,98683,53502,0.3515589578473568,0.4442654532168598,0.3925124627218804,0.244177608609335,29222087,221210,15720,22504,0.5887400586019255,0.0923377401380306,0.1596379345813618,0.086742678291974
MF,0.004,True,-,-,True,float64,2122-2488,72,SELECT-ALL,0.0861690524599995,0.012814525514841,0.1699566522689336,0.2273212561478235,0.0084442337974905,0.2791789695465052,0.1208476238868578,0.0145853767171502,0.21966293823691,78852762,585264,114576,75833,0.3982637375334149,0.1147078265368017,0.1781150103463745,0.0977641351445776,0,175,0,167,1.0,6145223,67182,98853,53332,0.3504418963761211,0.442537796438588,0.3911418817084037,0.2431176977394047,29223261,220036,15723,22501,0.5886615738802846,0.0927734737380276,0.1602857946794604,0.0871253775265236
ACE,0.03,True,-,-,True,float64,2122-2488,72,SELECT-ALL,0.0704819150081085,0.1528626382350921,0.1252039911061159,0.1440935531876404,0.0820316597819328,0.1843984038056671,0.1549090132530617,0.1753144413232803,0.2257068542471733,79050694,387332,142086,48323,0.2537852727549643,0.1109203383411185,0.1543707991515244,0.083641285627989,0,175,0,167,1.0,6185507,26898,121107,31078,0.2042119788415415,0.5360493997516214,0.2957542074885445,0.1735396436289318,29305251,138046,20979,17245,0.4511563415655086,0.111049577889253,0.1782290778492623,0.0978328700289328
MAG1C_TILE,300.0,True,GENERATED,0.01,True,float64,2122-2488,72,SELECT-ALL,0.1248860990596256,1103.553955078125,0.2329569568020607,0.3830484874353628,701.86376953125,0.4181745902715474,0.1095679102717773,1203.91796875,0.2229040785003272,79156024,282002,107181,83228,0.4371011874438708,0.227878323248364,0.2995758037142821,0.1761771000251899,0,175,0,167,1.0,6188772,23633,90774,61411,0.4035286000591385,0.7221085555712338,0.5177360272142107,0.349287331217509,29344373,98924,16407,21817,0.57076705734617,0.1806925567951234,0.2744880948636492,0.1590763263044302
MAG1C_TILE_SAMPLED-0.01,300.0,True,GENERATED,0.01,True,float64,2122-2488,72,SELECT-ALL,0.1118851206073205,1163.9891357421875,0.2227531665938976,0.3592673892716081,722.2697143554688,0.4061648595553931,0.1000948195869145,1291.9410400390625,0.2148636152997298,79021414,416612,89882,100527,0.5279529854156053,0.1943906763945476,0.284155986590309,0.1656071206762204,0,175,0,167,1.0,6172408,39997,76807,75378,0.4953050563458948,0.6533304442036837,0.5634474510390193,0.3922219562706184,29290574,152723,13075,25149,0.6579374215152783,0.1413881892596923,0.232757663260773,0.1317067039545004
