METHOD,THRESHOLD,WHOLE_IMAGE,MAG1C,SAMPLED,SPED_UP,PRECISION,WAVELENGTH_RANGE,CHANNEL_N,SELECT_STRATEGY,AUPRC_all,BEST_THRESHOLD_all,BEST_F1-SCORE_all,AUPRC_strong,BEST_THRESHOLD_strong,BEST_F1-SCORE_strong,AUPRC_weak,BEST_THRESHOLD_weak,BEST_F1-SCORE_weak,TN_all_seg,FP_all_seg,FN_all_seg,TP_all_seg,Recall_all_seg,Precision_all_seg,F1-score_all_seg,Iou_all_seg,TN_all_tile_clas,FP_all_tile_clas,FN_all_tile_clas,TP_all_tile_clas,FPR_all_tile_clas,TN_strong_seg,FP_strong_seg,FN_strong_seg,TP_strong_seg,Recall_strong_seg,Precision_strong_seg,F1-score_strong_seg,Iou_strong_seg,TN_weak_seg,FP_weak_seg,FN_weak_seg,TP_weak_seg,Recall_weak_seg,Precision_weak_seg,F1-score_weak_seg,Iou_weak_seg
CEM,0.004,True,-,-,True,float64,200-2600,25,SELECT-EVENLY-SPACED,0.041545639875243304,0.018260370939970016,0.11466265386926026,0.1593080615517955,0.011797459796071053,0.22072315880840965,0.05115882124616151,0.021368147805333138,0.13969216085722458,77130105,2307921,107473,82936,0.4355676464872984,0.034688816604255296,0.06425994066477458,0.03319657531230862,0,175,0,167,1.0,6009884,202521,91060,61125,0.4016493084075303,0.23184497394233175,0.2939896255930895,0.17232581349060913,28548831,894466,16413,21811,0.5706100879028883,0.02380393701904555,0.04570136647316241,0.023385047550633115
MF,0.004,True,-,-,True,float64,200-2600,25,SELECT-EVENLY-SPACED,0.041906347215133005,0.01835792139172554,0.11553305634737897,0.1604355556125338,0.011833865195512772,0.22178923261447314,0.052383514936036324,0.021014677360653877,0.14137897948880937,77312355,2125671,108170,82239,0.4319071052313704,0.03724744215117464,0.06858053494968767,0.035507840834513485,0,175,0,167,1.0,6022533,189872,91876,60309,0.3962874133455991,0.24106147149463789,0.29977184951014746,0.17631271980985624,28613193,830104,16294,21930,0.5737233151946421,0.025738409500090372,0.04926661709302248,0.02525543343068518
ACE,0.03,True,-,-,True,float64,200-2600,25,SELECT-EVENLY-SPACED,0.017790679879993915,0.35257238149642944,0.05373701623584001,0.07544613623754996,0.19667549431324005,0.12262576857502733,0.03417095776278799,0.3987770080566406,0.08248403980028678,72261235,7176791,118038,72371,0.3800818238633678,0.009983360835362763,0.019455691732762546,0.00982340645021175,0,175,0,167,1.0,5661412,550993,100284,51901,0.34103886716824916,0.086086443056325,0.13747170825834118,0.07380919198268433,26789473,2653824,17754,20470,0.5355274173294265,0.00765435662645917,0.015092987401373926,0.007603876305325908
MAG1C_TILE,300.0,True,GENERATED,0.01,True,float64,200-2600,25,SELECT-EVENLY-SPACED,0.044366313868810965,1736.961181640625,0.1293659230416075,0.21340729453728427,985.2510375976562,0.285655721129074,0.04168588622895676,1875.8297119140625,0.12375298148318144,78830525,607501,128116,62293,0.3271536534512549,0.09300322188613215,0.14483325447597833,0.07807020841949594,0,175,0,167,1.0,6160223,52182,107518,44667,0.29350461609225614,0.46120249047486295,0.35872210220291206,0.2185626837992435,29213092,230205,20598,17626,0.461123901213897,0.07112104619680347,0.123235042212162,0.06566354604010743
MAG1C_TILE,400.0,True,GENERATED,0.01,True,float64,200-2600,25,SELECT-EVENLY-SPACED,0.044366313868810965,1736.961181640625,0.1293659230416075,0.21340729453728427,985.2510375976562,0.285655721129074,0.04168588622895676,1875.8297119140625,0.12375298148318144,78897417,540609,129348,61061,0.32068337105914113,0.10148586434424187,0.1541790654720047,0.08352872295894219,0,175,0,167,1.0,6164412,47993,108239,43946,0.2887669612642507,0.47799084175377154,0.360030148613,0.2195346141933679,29237094,206203,21109,17115,0.44775533696107156,0.07663959018081838,0.1308776410672091,0.0700209060373854
MAG1C_TILE,500.0,True,GENERATED,0.01,True,float64,200-2600,25,SELECT-EVENLY-SPACED,0.044366313868810965,1736.961181640625,0.1293659230416075,0.21340729453728427,985.2510375976562,0.285655721129074,0.04168588622895676,1875.8297119140625,0.12375298148318144,78986522,451504,131727,58682,0.3081892137451486,0.11502079633702218,0.1675204647478215,0.09141737275923684,0,175,0,167,1.0,6170210,42195,109695,42490,0.2791996583106088,0.5017417488339139,0.3587621902309283,0.21859244778269368,29270540,172757,22032,16192,0.42360820426956886,0.08569508174163398,0.1425521518842468,0.07674624729241021
MAG1C_TILE_SAMPLED-0.01,300.0,True,GENERATED,0.01,True,float64,200-2600,25,SELECT-EVENLY-SPACED,0.044440331466236625,1777.035400390625,0.1286864985538328,0.21086421299785904,999.1047973632812,0.2901909007492368,0.04107064405198877,1898.97314453125,0.12134940399202337,78525934,912092,109754,80655,0.42358817072722404,0.08124426465151746,0.13633874146773547,0.0731563962300261,0,175,0,167,1.0,6126396,86009,92599,59586,0.3915366166179321,0.4092585597032865,0.400201491033649,0.2501574346960881,29086723,356574,17155,21069,0.551198200083717,0.05579078653649081,0.10132566421476095,0.05336653174534826
MAG1C_TILE_SAMPLED-0.01,400.0,True,GENERATED,0.01,True,float64,200-2600,25,SELECT-EVENLY-SPACED,0.044440331466236625,1777.035400390625,0.1286864985538328,0.21086421299785904,999.1047973632812,0.2901909007492368,0.04107064405198877,1898.97314453125,0.12134940399202337,78697598,740428,114420,75989,0.39908302653761113,0.0930762098290457,0.15094763146760215,0.08163513053305788,0,175,0,167,1.0,6139366,73039,96038,56147,0.36893912014981767,0.43462139860356386,0.39909585564965827,0.2492940361595567,29153862,289435,18382,19842,0.5190979489326077,0.06415608014821665,0.11419823252307189,0.06055685941787041
MAG1C_TILE_SAMPLED-0.01,500.0,True,GENERATED,0.01,True,float64,200-2600,25,SELECT-EVENLY-SPACED,0.044440331466236625,1777.035400390625,0.1286864985538328,0.21086421299785904,999.1047973632812,0.2901909007492368,0.04107064405198877,1898.97314453125,0.12134940399202337,78852149,585877,120082,70327,0.3693470371673608,0.10717246466038001,0.16613730240381377,0.09059418822444305,0,175,0,167,1.0,6151529,60876,100224,51961,0.34143312415809707,0.4604961138633604,0.3921259367146878,0.2438785136651006,29214565,228732,19858,18366,0.48048346588530766,0.07432678532404147,0.12873875831516673,0.06879785432805406
CEM,0.004,True,-,-,True,float64,200-2600,25,SELECT-HIGHEST-TRANSMITTANCE,0.046281293242669545,0.018370963633060455,0.11237897351659501,0.17883818547778693,0.011402607895433903,0.235905342626511,0.040063163506024846,0.020395033061504364,0.10911057037449469,77677722,1760304,111822,78587,0.41272733956903296,0.04273608386793997,0.07745232346129206,0.04028629531868604,0,175,0,167,1.0,6048967,163438,92478,59707,0.39233170154745867,0.267570413856461,0.31815735486105556,0.18917189178228455,28746948,696349,19344,18880,0.49393051485977396,0.0263971399369992,0.050115932911541934,0.02570200647178701
