METHOD,THRESHOLD,WHOLE_IMAGE,MAG1C,SAMPLED,SPED_UP,PRECISION,WAVELENGTH_RANGE,CHANNEL_N,SELECT_STRATEGY,AUPRC_all,BEST_THRESHOLD_all,BEST_F1-SCORE_all,AUPRC_strong,BEST_THRESHOLD_strong,BEST_F1-SCORE_strong,AUPRC_weak,BEST_THRESHOLD_weak,BEST_F1-SCORE_weak,TN_all_seg,FP_all_seg,FN_all_seg,TP_all_seg,Recall_all_seg,Precision_all_seg,F1-score_all_seg,Iou_all_seg,TN_all_tile_clas,FP_all_tile_clas,FN_all_tile_clas,TP_all_tile_clas,FPR_all_tile_clas,TN_strong_seg,FP_strong_seg,FN_strong_seg,TP_strong_seg,Recall_strong_seg,Precision_strong_seg,F1-score_strong_seg,Iou_strong_seg,TN_weak_seg,FP_weak_seg,FN_weak_seg,TP_weak_seg,Recall_weak_seg,Precision_weak_seg,F1-score_weak_seg,Iou_weak_seg
CEM,0.004,True,-,-,True,float64,200-2600,50,SELECT-EVENLY-SPACED,0.07634793851925008,0.015109589323401451,0.16090414598314778,0.21772321197833244,0.009726090356707573,0.2723090493884531,0.09253732244829661,0.016591031104326248,0.18919143509047376,78476212,961814,107388,83021,0.4360140539575335,0.07945847908999985,0.1344204060088533,0.07205289253903108,0,175,0,167,1.0,6106721,105684,92207,59978,0.394112428951605,0.3620504400526373,0.37740170585218674,0.2325909667311697,29074320,368977,15181,23043,0.602841146923399,0.05878016427733279,0.107115962105224,0.05658876083310208
MF,0.004,True,-,-,True,float64,200-2600,50,SELECT-EVENLY-SPACED,0.07623432070795597,0.01477405522018671,0.15978160880518155,0.21626403358818877,0.0096884248778224,0.27049468716438124,0.09461198575018262,0.016433730721473694,0.19035984002126743,78476558,961468,107471,82938,0.4355781501924804,0.0794116464286877,0.13433267331543594,0.07200247943139762,0,175,0,167,1.0,6105182,107223,92138,60047,0.39456582448993,0.3589824834100556,0.3759340126152353,0.23147705544933078,29070312,372985,15333,22891,0.5988645876935956,0.05782366195475351,0.10546417876065424,0.05566755591438903
ACE,0.03,True,-,-,True,float64,200-2600,50,SELECT-EVENLY-SPACED,0.05534797694159401,0.2050260603427887,0.10560310138602602,0.1271718209352197,0.11171817779541016,0.17137721648309567,0.11972497974565885,0.2323836237192154,0.1873754638264271,78126669,1311357,132112,58297,0.306167250497613,0.04256330430897146,0.07473672537583417,0.038818963806611685,0,175,0,167,1.0,6121301,91104,112853,39332,0.2584485987449486,0.3015425189364899,0.27833742007847967,0.16166781071071853,28965642,477655,19259,18965,0.49615424863959817,0.03818815190689058,0.07091787511872621,0.03676249663196215
MAG1C_TILE,300.0,True,GENERATED,0.01,True,float64,200-2600,50,SELECT-EVENLY-SPACED,0.11057291623939872,1261.0137939453125,0.2190147041174219,0.3610781806746419,765.4165649414062,0.4015496648017063,0.08947027261963336,1394.874755859375,0.20146042344866513,79099067,338959,108158,82251,0.4319701274624624,0.19527314166330334,0.26896155940217686,0.15537584440313731,0,175,0,167,1.0,6183459,28946,90834,61351,0.4031343430692907,0.6794356401652325,0.5060251894986019,0.33871065692785884,29323522,119775,17324,20900,0.5467768940979489,0.14856939754753865,0.23365138989038509,0.13227931822353306
MAG1C_TILE,400.0,True,GENERATED,0.01,True,float64,200-2600,50,SELECT-EVENLY-SPACED,0.11057291623939872,1261.0137939453125,0.2190147041174219,0.3610781806746419,765.4165649414062,0.4015496648017063,0.08947027261963336,1394.874755859375,0.20146042344866513,79193058,244968,112159,78250,0.41095746524586546,0.2420966654084859,0.30469582011849067,0.17972929208479088,0,175,0,167,1.0,6190429,21976,93365,58820,0.38650326904754084,0.7280063369473736,0.5049338787283083,0.337733476495886,29356745,86552,18794,19430,0.5083193804939306,0.18333301881451566,0.2694756112783102,0.15571904853497467
MAG1C_TILE,500.0,True,GENERATED,0.01,True,float64,200-2600,50,SELECT-EVENLY-SPACED,0.11057291623939872,1261.0137939453125,0.2190147041174219,0.3610781806746419,765.4165649414062,0.4015496648017063,0.08947027261963336,1394.874755859375,0.20146042344866513,79265556,172470,118412,71997,0.37811763099433326,0.2945060069457227,0.33111507648157174,0.19840497796786258,1,174,0,167,0.9942857142857143,6196415,15990,97580,54605,0.35880671551072707,0.7734967065656208,0.4902145614507585,0.3246915415489817,29382734,60563,20832,17392,0.45500209292591043,0.2231030722852928,0.29940006369481575,0.17605555386842398
MAG1C_TILE_SAMPLED-0.01,300.0,True,GENERATED,0.01,True,float64,200-2600,50,SELECT-EVENLY-SPACED,0.09892750670950398,1261.431396484375,0.20915246934577733,0.3473709595873844,785.6608276367188,0.39803254650756076,0.08570553973143401,1385.2025146484375,0.20001110181070586,78956119,481907,90736,99673,0.5234679033028901,0.17138312871831907,0.2582238866097833,0.14825320236317446,0,175,0,167,1.0,6167080,45325,76750,75435,0.49567960048625026,0.6246687644915535,0.5527487222700543,0.3819300288592983,29272496,170801,13986,24238,0.634104227710339,0.12427258138115967,0.2078169276739131,0.11595742136108121
MAG1C_TILE_SAMPLED-0.01,400.0,True,GENERATED,0.01,True,float64,200-2600,50,SELECT-EVENLY-SPACED,0.09892750670950398,1261.431396484375,0.20915246934577733,0.3473709595873844,785.6608276367188,0.39803254650756076,0.08570553973143401,1385.2025146484375,0.20001110181070586,79114007,324019,99656,90753,0.4766213781911569,0.2188021370777198,0.2999201891665469,0.1764153584175045,0,175,0,167,1.0,6180379,32026,83280,68905,0.4527712980911391,0.6826941177636207,0.5444539262630572,0.37405475243063663,29331147,112150,16376,21848,0.5715780661364588,0.16304720965984568,0.253719037056822,0.14529107425485788
MAG1C_TILE_SAMPLED-0.01,500.0,True,GENERATED,0.01,True,float64,200-2600,50,SELECT-EVENLY-SPACED,0.09892750670950398,1261.431396484375,0.20915246934577733,0.3473709595873844,785.6608276367188,0.39803254650756076,0.08570553973143401,1385.2025146484375,0.20001110181070586,79217381,220645,109580,80829,0.4245019930780583,0.2681126730663341,0.328651325620117,0.19663839787473178,1,174,0,167,0.9942857142857143,6189403,23002,90641,61544,0.4044025363866347,0.7279350885908263,0.5199488026494207,0.35130460593537194,29368401,74896,18939,19285,0.5045259522812893,0.20476529236257843,0.29130319851969333,0.17048267326732675
CEM,0.004,True,-,-,True,float64,200-2600,50,SELECT-HIGHEST-TRANSMITTANCE,0.08126378013895894,0.014020141214132309,0.15986996650789878,0.22102906137172978,0.009016538970172405,0.27360758137397445,0.09107756220877143,0.01564032956957817,0.17954595868781995,78670332,767694,111356,79053,0.41517470287643965,0.09336082678769456,0.1524418698826406,0.0825099180359523,0,175,0,167,1.0,6123921,88484,94076,58109,0.3818313237178434,0.3963968265878998,0.3889777694475497,0.2414477975975302,29157634,285663,17280,20944,0.5479280033486814,0.06830894271820279,0.12147399740742568,0.06466452806071253
MF,0.004,True,-,-,True,float64,200-2600,50,SELECT-HIGHEST-TRANSMITTANCE,0.08133512844460687,0.014162029139697552,0.15955110997866156,0.21811349434219532,0.00875703152269125,0.2717386246051734,0.09174800747492451,0.015460026450455189,0.17915732321294361,78651507,786519,111501,78908,0.41441318425074447,0.0911781120764663,0.14947018286930924,0.08077156146614695,0,175,0,167,1.0,6121592,90813,94189,57996,0.38108880638696324,0.38973449186541137,0.3853631633853166,0.23866863101753924,29146760,296537,17312,20912,0.5470908329845123,0.06587514844904221,0.11759115817056681,0.06246844763876318
ACE,0.03,True,-,-,True,float64,200-2600,50,SELECT-HIGHEST-TRANSMITTANCE,0.06843668611876766,0.21285459399223328,0.11932018378239038,0.15096773615855727,0.11705413460731506,0.1904864363392699,0.11559300041263362,0.23754733800888062,0.17887787519101114,78245961,1192065,132130,58279,0.306072717150975,0.04661037282539845,0.08090075120440492,0.04215558484282526,0,175,0,167,1.0,6128386,84019,111760,40425,0.2656306469100108,0.3248449101603934,0.29226870646244607,0.17114443447189717,29014151,429146,20370,17854,0.4670887400586019,0.03994183445190157,0.07359075396105716,0.0382009970687036
MAG1C_TILE,300.0,True,GENERATED,0.01,True,float64,200-2600,50,SELECT-HIGHEST-TRANSMITTANCE,0.10651092426060098,1244.270751953125,0.1958989672834375,0.3133628248094725,745.5147705078125,0.34722508616642855,0.09239842151611825,1344.74951171875,0.18471083177449127,79163730,274296,123703,66706,0.35033007893534446,0.19561762101102045,0.25105238694720283,0.14354482951549907,0,175,0,167,1.0,6186815,25590,102230,49955,0.3282517987975162,0.66126149976835,0.438721292758969,0.2810012656447757,29353875,89422,21473,16751,0.438232524068648,0.1577708080208716,0.2320131304666994,0.13123012080284538
MAG1C_TILE,400.0,True,GENERATED,0.01,True,float64,200-2600,50,SELECT-HIGHEST-TRANSMITTANCE,0.10651092426060098,1244.270751953125,0.1958989672834375,0.3133628248094725,745.5147705078125,0.34722508616642855,0.09239842151611825,1344.74951171875,0.18471083177449127,79237596,200430,127200,63209,0.3319643504246123,0.23975587830328593,0.2784243075621961,0.16172643978722698,2,173,0,167,0.9885714285714285,6192895,19510,104331,47854,0.3144462332030095,0.7103794311501692,0.435930020177728,0.2787151635167011,29378617,64680,22869,15355,0.4017109669317706,0.19185356406572124,0.25968425236134246,0.1492167457047345
MAG1C_TILE,500.0,True,GENERATED,0.01,True,float64,200-2600,50,SELECT-HIGHEST-TRANSMITTANCE,0.10651092426060098,1244.270751953125,0.1958989672834375,0.3133628248094725,745.5147705078125,0.34722508616642855,0.09239842151611825,1344.74951171875,0.18471083177449127,79298858,139168,132450,57959,0.30439212432185453,0.29401857685654426,0.2991154370174642,0.17585875227943698,7,168,0,167,0.96,6198566,13839,107823,44362,0.29150047639386273,0.7622205804023986,0.42172007643094117,0.267202332192936,29398538,44759,24627,13597,0.3557189200502302,0.2330008910823223,0.2815696831642162,0.16385283732812744
